original,translated
is the best airline i have flown on easy to change your reservation helpful representatives amp a comfortable flying experience,that is the best airline i stole easy to change your booking helpful representatives and a comfortable flight experience
and again another rep kicked butt naelah represents your team so beautifully thank you,and again another one kicks his ass naelah represents your team so beautiful thank you
your beautiful front end design is down right now but it was cool to still book my ticket b c all your back end was secure,your beautiful front design is down now but it was cool to book my b c ticket all your back end was secure
love the team running gate e9 at las tonight waited for a delayed flight and they kept things entertaining,loves the team that runs the e9 door at las tonight waiting for a delayed flight and they kept things entertaining
thanks to your outstanding nyc jfk crew who moved mountains to get me home to san francisco tonight,thanks to your nyc jfk team who moved mountains to bring me back to the san francisco house tonight
you have the absolute best team and customer service ever every time i fly with you i m delighted thank you,you have the best team and customer service ever every time i fly with you i m happy thank you
completely awesome experience last month bos las nonstop thanks for such an awesome flight and depart time,experience completely awesome last month bos las non stop thank you for such an impressive flight and leave
you rock for making it so i can watch on my flight,you are making fun of this so i can watch my flight
always xoxo,always xoxo
best customer service rep in the world takes the cake,best customer service in the world take the cake
you have amazing staff amp super helpful as i just ran the they have spoiled me with comfort,you have an incredible and super helpful staff because i just ran the they spoiled me with comfort
always have it together you are welcome rt you are so welcome,always have it together you are welcome
home to in back to,go home
thank you for checking in tickets are purchased and customer is happy,thanks for checking tickets are purchased and the customer is happy
thank you for the follow,thanks for the follow up
u rt youuave met your match got status on another airline upgrade restr,u rt youuave met your game another plane upgrade restr
only way to fly,just a way to fly
you will match my status cool,are you going to match my status cool
i love your guy s song we are dancing to it for our high school dance revue,i love your guy s song we dance for our high school dance magazine
done thank you for the quick response apparently faster than sitting on hold,it is done thank you for the quick answer apparently faster than staying on hold
cool picture of another virginamerica plane off our wing what a site,cool image of another virginamerica plane on our wing what site
keep up the great work,keep the good work
my goodness your people field are amazing under pressure ufrom texas in crisis please fly me to ny,my well being your people field are amazing under pressure ufrom texas in crisis please fly to ny
thanks for a great flight from la to boston pilots did a great job landing in the snow can we go back to la now,thanks for a great flight from boston the pilots made a good landing in the snow can we go back to the now
thanks so much for the awesome support you guys rock,thanks a lot for the impressive support you guys rock
twitter team you guys killed it for rescheduling me asap thank you,team twitter you killed him for rescheduling thank you
when are you putting some great deals from pdx to las or from las to pdx show me your love,when you put good pdx stuff to las or pdx las to show me your love
wish i can afford to fly with you next friday going back home love everything about your airline,if i could afford to fly with you next friday back home love all your airline
like,like that
you have the best flight attendant ever,you have the best onboard agent
awesome rt watch nominated films at 35 000 feet,great look at the 35 000 foot nominees
thanks so much,thank you very much
the only airline based in silicon valley,the only airline based in the silicon valley
very nicely done uo,very well done yes
iuam looking forward to watching the oscars on my flight home tomorrow i might even get something bubbly to drink,iuam is looking forward to watching the oscars on my flight home tomorrow i could even have something to drink
hahaha ua virginamerica you guys are amazing i love you guys uon,hahaha ua virginamerica you are amazing i love you
sounds like fun,sounds good
classiq love virgin america greetingz,classiq love virgin america salutationz
thanks for your great customer service today amp for helping me get all my travel sorted out,thanks for your great customer service today and for helping me get all my trip sorted
thanks guys sweet route over the rockies,thank you gentle road on the rocks
love the 90s music blasting at gate in while waiting for flight to only if i could get an iced coffee,love the music of the 90s while waiting for the flight only if i could get an iced coffee
thank you for the easy itinerary shift for impending weather quick painless amp free,thanks for the easy route change for the imminent time fast painless and free
thanks good times there and back the entire flight uu sfo,thank you good times there and back the whole flight uu sfo
you are doing a great job adding little luxuries aesthetics that improve the air travel experience thank you keep it up,you do an excellent job by adding little luxuries aesthes that improve the air travel experience thank you
thanks for gate checking my baggage on your full flight dfw lax 883 and giving me early boarding too,thank you for checking the baggage door on your full flight dfw lax 883 and giving me boarding too soon
i see what you did there,i see what you did here
your inflight team makes the experience,your flight team experience
cutest salt and pepper shaker ever just when i think you guys cannot get any better you just do,the most cut salt and pepper shaker just when i think you cannot get better than you do
fav airline,fav airlines
we have a hot female pilot sweet dca to sfo,we have a sexy female pilot that is nice dca to sfo
thank you,thank you
would love to do more for virgin just like i do for,would have liked to do more for a virgin as i do it for
loved it cannot wait for monday s return flight mostly just to watch the inflight safety video again,i loved it i cannot wait for monday s flight back especially to watch the security video in flight again
hi just wanted to see if you have any new routes planned this year for newark love flying you guys and hope to do so more,hello i just wanted to see if you have new roads scheduled this year for newark i love to steal you guys and i hope to do more
i mean probably inappropriate while on board but it is on,i mean probably inappropriate on board but let us go
happy to spend the day together let us do this,happy to spend the day together let us go
virginamerica they were very understanding and helped me out thx,virginamerica they helped me understand thx
thank you i absolutely will u,thank you i m going to absolutely u
how about some free drinks on the flight back for the free promo,what would you say to drink free drinks on the flight for free promo
thanks for taking care of on her flight,thanks for taking care of his flight
thanks for the lovely soft views to,thanks for the beautiful soft views to
i adore you and am so looking forward to my flight to austin in two weeks,i love you and i cannot wait to fly in a couple of weeks
i was so glad it was mentioned i took my first virgin flight a few years back and it was a transformative experience,i was so glad he was mentioned i took my first virgin flight a few years and it was a transformational experience
first time flying virgin went to thanks for the smooth ride easily my new fav airline,the first time virgin flying went to thank you for the right ride easily my new airline
just promoting the product is all had a problem with southwest and recommend noneother than the best,just promoting the product is everything had a problem with the southwest and recommend nothing but the best
love you guys but pls get some direct routes las to aus,i love you but i have some direct routes to aus
of course i work for and i m obsessed with the entire virgin family,of course i work for and am obsessed with the whole virgin family
ok first time flying with you tonight,okay first time with you tonight
got it squared away someone picked up as soon as i tweeted should have tweeted sooner ua,i found him stuck someone picked up as soon as i tweeted should have tweeted earlier you are right
ui virginamerica of course have fun celebrating u thanks happy chinese new year,ui virginamerica of course have fun celebrating happy chinese year
flight booking problems last second flight for next week from sfo to san any chance you want to gift me a promo code since i love you guys,second flight booking problems for next week from sfo to san any chance you want to give me a promo code since i love you guys
for my grandma ella s 80th she would lt 3 a bday greeting from your flight crew she was a stewardess for eastern airlines,for my grandmother she would have lt 3 a day of salvation from your flight crew she was a hostess for the eastern airlines
just bought tix for atx dallas route thanks for adding that love yr airline amp yr website is best transactional site ever,just bought tix for atx dallas route please add this the best transactional site ever
gave a credit for my late flight flight yesterday great service that is a wow moment unexpected gesture,i gave a credit for my late flight yesterday great service it is a weird time unexpected gesture
had me at their safety video loved my first cross country flight,had me during their security video loved my first cross country flight
that does not look to fat to me it looks yummy,it is none of my business it looks delicious
omg omg u u nonstop dallas to austin on virgini uiou,omg omg u u nonstop dallas à austin sur virgini uiou
your planes are really pretty just thought u should know that,your planes are really pretty i thought i should know
thank you,thank you
good to be home,good to be home
thanks for that been needing a way to make those austin trips from dca and now you have come through,thank you for that i need a way to make these dca s fate trips and now you have come
this is too cool never been on ur planes but now i will,it is so cool i ve never been on planes but now i will
great well deserved,great well deserved
got it all set thanks,got it thank you
giants and virgin america a match made in heaven,giant and virgin american a match made in paradise
thank goodness also see you friday nwk gt sf boom,thank god also see friday indicative nwk sf boom
i love ur people and product 1 thing is y do u charge for herbal tea but not black tea i m not a caffeine drinker,i drink people and produce 1 thing is that you have the charge for herbal tea but not black tea i m not a caffeine drinker
thank you see you all soon i m excited to see the expansion of destinations spread those wings,thank you see you soon i m very happy to see the expansion of destinations spread these wings
has the most incredible customer service i ve ever experienced so refreshing,has the most amazing customer service i ve ever known so refreshing
am i dreaming did you really just open up a route between dallas and austin and does this mean houston might be next,i dream did you really open a route between dallas and austin and that means that houston will be next
omg finally,omg finally
the dal aus route makes my day,the road to the dal aus is my day
awesome deals dal aus for only 39 each way,great business of the dal aus for only 39 per way
love it taking on in their backyard consumers win when biz competes,i love it i m in their garden consumers win when biz competes
uu is flying from love to austin now that is most excellent news,i m stealing love in fate now it is a great news
congrats vx on the new route iou u a,congratulations to vx on the new road iou u a
i am all about the in flight artisanal cheese and wine pairing,i m all on the artisanal cheese in flight and wine
that is classy,it is classy
i m sure a lot of your 747 and 777 jfk lhr flights go a lot faster than 513mph with a strong tailwind,i m sure many of your flights 747 and 777 jfk lhr go much faster than 513mph with a strong rear wind
now it is just t minus 32 minutes until my elevate a silver upgrade window opens ua uo,now it is just t less 32 minutes until my student opens a silver upgrade window ua uo
would have been a rough trip but luckily we were on a flight,it would have been a difficult trip but fortunately we were flying
another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them,another perfect flight how is it that your planes sunglasses can stay below other carriers are getting you up
nice rt the man of steel might be faster but we have wifi uo just saying,the man of steel could be faster but we have the uo wifi just say
i love the dancing little richard cool beans,i love dance fresh beans
i donuat use passbook i still love you though lt 3 iuall just use my email in the future,i donuat use passbook i still like you that lt 3 iuall just uses my email in the future
thanks for the free birthday points you all are all right with me,thanks for the free birthday points you are fine with me
thanks so much for sharing just added it to my site,thank you very much for sharing has just added it to my site
dad on segway is the best part of this whole infographic,dad on track is the best part of all this infographic
are there any plans for a short haul airline in europe would defiantly fly with you guys,are there plans for a short term transport company in europe i d fly with you
wifi and better seating,wifi and a better living room
virginamerica not only was it great but you return my calls the day after could not ask for more,virginamerica not only was it great but you return my calls the next day i could not ask for more
so loyal that i m driving to from to fly virgin since you cut flights,so loyal that i drive to the virgin since you cut off flights
you guys are perfect as always lt 3,you are perfect as always quot 3
thanks you all have some of the best customer service left in the industry,thank you you all have the best customer service that stays in the industry
really wish you would fly out of those fares are amazings,if you were stealing out of these prices it is amazing
just got on the 1pm in newark home to la your folks at ewr are incredible,i came to newark at home your parents to ewr are amazing
flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul,flying lax to sfo and after watching the super movie lineup i really wish i was on a long breath
thanks,thank you
thanks for taking care of that mr happy customer,thank you for taking care of this gentleman happy client
thanks we filled it out how is our luck with this is it common,thank you we filled it how is our chance with that is that common
thanks it is on the same ticket,thank you it is on the same ticket
follow me please this airline is beautifull a,please follow me this airline is beautiful
just wanted to let you know how wonderful rosetta the gate agent was working flight 6457 dan to ase let her know she wasappreciated,i just wanted to tell you how the marvellous rosetta the doorman worked 6457 dan to ase she knows she was
thanks for your help got me what i need but its an issue with i guess i sit awhile longer,thanks for your help gave me what i need but his problem with i guess i ll sit a little longer
airport snow removal method keep up the good work folks this is where cessna s become 747 s,the method of snow removal from the airport keeps the good people working that is where cessna became 747 s
thank you for that am i able to claim any interim expenses or is the cost of the stuff up on me,thank you for that am i able to claim provisional expenses or the cost of things on me
i flew united last month and the experience was awesome,i stole one last month and the experience was great
441 which also had 1 working wc in coach good thing this bird landed ahead of schedule i have to use the wc stat,441 who also had 1 wc in coach it is a good thing that this bird landed before the schedule i have to use the wc stat
for the record rozana at newark was lovely and helpful,for the record rozana in newark was charming and helpful
thx for update,thx for update
despite my bag not making it to newark good informative email tracking updates help,despite my bag not to do it to newark good informative email followed up updates help
wow what a deal again 30 plus seats available easy change to make a customer happy,what a deal 30 more places available easy change to make a client happy
private jet would have been cool do does not work i ll try again,private jet would have been cool does not work i ll try again
thanks just sent,thank you just sent
has unrivalled access to with flights to the u s from 7 uk airports with nonstop or one stop connections year round,has unmatched access to flights to the u s of 7 uk airports with non stop connections or a stop all year round
thnx for the info,thnx for news
kudos for not cancelled flightling flights from dfw this morning united usually first to panic,kudos for unrelied dfw flights this morning first panic
another awesome new plane flight 1584 and extremely nice captain steve connolly,an impressive new plane flight 1584 and very pleasant captain steve connolly
every united flight between saipan and guam is an adventure you never know when old plane will be operational,every single flight between the sword and the guam is an adventure you never know when the old plan is operational
thank you for the cheese platter and abundance of entertainment options time just flew by,thanks for the cheese tray and the abundance of entertainment options time passes
thank you been trying for two days to set this up,thank you i tried for two days to settle this
definitely a compliment i really thought my bag was lost after it was sent on to another airport in the end i am a happy customer,a compliment i really thought my bag was lost after it was sent to another airport at the end i am a happy client
thanx so much you followed through and emailed me a 1000 ticket voucher they do care,too much you followed me and sent me a 1 000 ticket voucher they do not care
this will definitely be a trip to remember ewr sti second of the season first on seat 35a because it pays to be loyal,it will certainly be a trip to remember ewr sti second of the season first on seat 35a because it pays to be loyal
you are one great airline u,you are a great airline u
ui united we will see what we can do knu we are running most of this plane is running thanks for the help,ui united we will see what we can do we are running most of this plane is running thanks for the help
we just flew with united from aus austin bergstrom to cancun intl best flight ever the 737 s are not too big not too small,we just stole with a pair of austin bergstrom to intl cun better flight ever the 737 are not too big not too small
flight ua3576 gate b1 and tell ray i somehow made it on to the 736 flight out of iah and did not have to wait for the 917 one,flight ua3576 door b1 and say to strip that i did it on flight 736 of iah and did not have to wait 917
but thanks for asking,but thank you for asking
you too,you too
is my favorite airline,is my favorite airline
man i cannot wait to book my ticket now thanks jp you are a life sabe,i cannot wait to book my ticket thank you you are a life sabe
you guys continue to impress me in houston,you keep impressing me in a houston
made the upgrade list will fly 1st tomorrow for 40 min for the first time ever uai,made the upgrade list the 1st tomorrow for 40 min for the first time i do not know
not just refunded but for those of us who are on vacation to get a free room night to make up for making us sleep in dia,not only refunded but for those of us who are on vacation to get a free room night to make us sleep in dia
thanks for the reminder it is been a fun ride,thank you for the reminder it was a fun trick
terrific many thanks looking forward to being back on ua tomorrow had a great flight up to vancouver,great thank you very much i cannot wait to be back tomorrow i had a big flight to vanquished
i appreciate your efforts getting me home,i appreciate your efforts to bring me home
despite shaky connections looks like i ll get home tonight great job was touch and go for a while,i ll be home tonight a good job was touching and spending a while
thank you,thank you
thanks we will be in touch,thank you for being in touch
thanks to karen salisbury at iah for amazing customer service found my daughter s bag lost on ua1516 made her day,thanks to karen salisbury at iah for an incredible customer service i found my lost daughter s bag on ua1516 she was on her day
i left my comment with customer care thanks for contacting me,i left my comment with customer care thank you for contacting me
yes thanks so much uoiui united we see you spoke with our reservations team and they have reinstated the flight thanks eyu,yes thank you very much uoiui united we see you spoke with our booking team and they re established the flight thank you eyu
captain on behalf of the front office welcome on board never heard that before i laughed hard,captain on behalf of the front desk welcome aboard never heard that before i laughed
these are great fares,these are great prizes
awesome i ll book my next christmas vacatinn this december any other ways you want to devalue mileage plus,great i ll book my next christmas vacatinn this december all the other ways you want to evaluate mileage more
thank u secured room for the night thx to very helpful customer service rep n dorns i thanked her can u 2,thank you secure room for the very useful customer service thx night rep n dorns i thanked her can you two
thank you i flew into newark from vail eagle,thank you i stole from a wing valley
denver international airport,denver international airport
thank you for responding so quickly with a helpful tool,thank you for responding so quickly with a useful tool
thank you took care of everything and made it right that is the experience i m used to opened the app to find flight changed,thank you took care of everything and did well it is the experience i m used to opened the application to find the flight changed
that is exactly the point it fits i m premier access boarding group 2 this was a return ticket i ve been doing this for 15 yrs,that is exactly the point it is okay i m the first access boarding group 2 it was a ticket back i did this for 15 years
thank you,thank you
my favorite way to travel thank you,my favorite way to travel thank you
he has no priority and iove it,it has no priority and the iove
pleased to be a premier platinum,happy to be a first platinum
thank you ui united i can certainly take a look please follow and dm me your confirmation number for assistance jhu,thank you ui united i can certainly watch follow me your confirmation number jhu
thanks for listening i definitely was not the only person in line who thought it was absurd,thank you for listening i was certainly not the only person online who thought it was absurd
ok i just submitted thanks for the opportunity to give feedback,okay i just submitted it thank you for the opportunity to comment
big thanks to ms winston for assisting me over the phone with a baggage claim issue today she really went the extra mile,thank you very much to ms winston helped me on the phone with a baggage problem today she really did the extra mile
i will as soon as i am done with my article thanks tom,i will as soon as i m done with my article thank you
ok thank again for your help,thanks again for your help
flight 1491 plane from sfo to den is basically on time,flight 1491 the plane from sfo to den is essentially on time
thanks just a program comment the system assigned seats behind each other even though pairs were available i changed it back,thank you just a program comment the system assigned seats behind the other even if pairs were available i changed it
please than robin at ewr premiere desk for helping me get on a an earlier flight she did the work huge thanks,please robin at the first ewr office to help me take a flight earlier she did the job thank you
that would help or how about integrate it into the app so i can just activate it and surf,it would help or how to integrate it into the application so that i can simply activate and surf it
thank you for your kindness your agents went above amp beyond to get my stranded family home,thank you for your kindness your agents went above and beyond to get my family in trouble
look at this beauty ua dc 10 united airlines ua,watch this beauty ua dc 10 united airlines ua
ok thx,okay thx
great to hear thankyou so much greatly appreciate your replies feel much more settled now,it is great to hear so many thanks thank you so much for your answers i feel a lot better now
counter agents at rdu deserve a medal,rdu police officers deserve a medal
thank you literally called for preboarding as i ran up,thank you i called for pre boarding
that is brilliant thankyou so much is it classed as part of carryon,that is great thank you very much is it classified in the porton
thank you for listening to my compliant and doing the right thing i appreciate you working with me,thank you for listening to my compliance and doing the right thing i appreciate you working with me
great i m ready to go home,great i m ready to go home
wow you even answered back awesome that is customer service,you even answered it is customer service
outsource it all united airlines your customers are just loving you for it outsource outsource outsource,outsourcing all united companies your customers just love you for that outsourcing outsourcing
thank you you need to follow back tho otherwise i cannot dm you x,thank you you must follow tho otherwise i cannot dm x
just sent thanks,i just sent
thank you very much for the help we are do i pick up my bags aspen airport amp are they coming in today on flight911,thank you so much for helping we are if i pick up my aspen airport bags and they arrive today in flight911
would love help getting there today in now will take any airline and connections thx,i d love to go today now will take any airline and connections thx
thanks for the update,thanks for the update
just confirmed a seat crisis averted beers will not be missed now,i confirmed a seat the crisis is avoided beers will not miss
understood and thanks i should have tried reaching out sooner,i m sorry i should have tried to get out of it sooner
the den b44 agent 9 30am was amazing the mpagent at check in she sucks,agent b44 den 9 30 was amazing the mpagent on the record she sucks
traveling with who is injured gate agent in chicago was awesome helping her ty,trip with who is hurt chicago door agent was great to help her ty
been solved they finally picked up the second time i called thanks for the response jh 7 21 to dulles works,they finally recovered the second time i called thank you for the answer 7 21 for dulls works
has the best customer experience via twitter huge fan,has the best customer experience via twitter big fan
love the new 1st class breakfast,love the new 1st class breakfast
thanks for looking into this and for getting back to me via dm glad to hear my bag is finally being delivered to me thanks again,thanks for looking for this and bringing me back by dm glad to hear my bag will finally be delivered to me thanks again
flew from sdf to atl to tampa on delta left early arrived early crew helpful wifi worked,flight from sdf to atl to tampa on delta left early i got here early the crew is useful wifi has worked
cool thank you,cool thank you
i d like to thank and recognize terri p at dulles for going out of her way to get me back on my raleigh flight,i d like to thank and recognize terri p to the guys for leaving his way to get me back on my raleigh flight
was able to send the dm all good now,could have sent the dm it is all right now
have michelle at t1 ord train your other staff on how to treat customers a refreshing pleasure to deal with,having t1 oud michelle train your other staff on how to treat customers a refreshing pleasure to take care of
ewr agent barbara was fabulous and an example of cust serv a pleasure talking to you u,agent barbara was fabulous and an example of cust serv a pleasure to speak to you u
thanks for the upgrade today great way to start my week cc,thanks for upgrading today a great way to start my week cc
i am impressed with your super fast reply to,i m impressed with your quick answer
hi jp with the help of an awesome tsa representative i was able to get it all taken care of thank you,hi jp with the help of a great tsa representative i could take care of everything thank you
the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air,the staff was pretty effective and brought us solutions just freaked me out a little bit of being in the limbo in the air
i want to be grand staff,i want to be a great staff
i want to be ride united airline i love airplane,i want to be a united airline i love airplane
you are my early frontrunner for best airline,you are my first frontrunner for the best airline
worked like a charm bag was waiting on the carousel when we got to baggage claim,it worked like a charm the bag was waiting for the carousel when we got baggage
will do thanks for the help cheers,it will thanks for the help applause
i have 8 flights with you in the next two weeks let us make some good memories,i ve got eight flights with you in the next two weeks make good memories
he is so excellent and so reliable,it is so excellent and so reliable
it was delivered thank you for making sure it arrived at my doorstep,he is been delivered thank you for telling me he is come to my door
ui united looking for a reason to travel,ui united looking for a reason to travel
i was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other cancelled flightlations,i sincerely thanked the pilot of flight 4461 for flying snow and bringing me home from many other cancelled flights
thanks lol will wait for us per same tail number as,thank you lol we will be waiting by the same number
bummer but thank you for the quick response,drink but thank you for the quick answer
they let us know in advance of the reboot yes thanks for the attentiveness,they let us know before restarting yes thanks for attention
wanted to compliment ur phone agent jeanette for reflight booking problems rdu to sea thru sfo after connecting flight thru ewr was cancelled flightled,wanted to complete ur phone agent jeanette for booking problems reflight rdu to sea thru sfo after the thru ewr correspondence flight was cancelled flight
social media team is on point on,the social media team is about to
thank you for following up,thank you for following
claudia in iah terminal b travel assistance has me all set great service thank you,claudia in the terminal b travel help put me all in a great service thank you
denver baggage handlers you totally impressed us today our lungs barely made the run to connect but our bags had no problem,the baggage managers denver you totally impressed us today our lungs barely raced to connect but our bags had no problem
thanks it was my first time in a united lounge and felt welcomed,thank you it was my first time in a united living room and i felt welcome
can cancelled flight my flight anytime if this is where they keep me for the night,can cancel my flight at any time if that is where they keep me for the night
thanks for updating me about the 1 hour delay the exact second i got to atl uae uae uae,thank you for updating me on the 1 hour delay and the second exact i had atl uae uae uae
resolved over hour of work on ground amp somehow the system reset itself during takeoff i appreciate the quick response service,resolved more hours of work on the ground and in a way the system reset during takeoff i appreciate the quick service response
and to add to my earlier tweet this was my daughters 5th bday present thank you for the hard work and making it happen,and add to my previous tweet it was my daughters 5th day thanks for the hard work and for it to happen
you have a guy named otis at ord that knows what is he was able to get my bag to me i upgraded just to be sure,you have a guy named ord otis who knows what is he was able to get me my bag i just upgraded to be sure
you all do a wonderful job today got my wife daughter and myself from pgh to orlando after out flight was delayed luggage and all,you all do a wonderful job today my wife my daughter and i from pgh to orlando after the flight was delayed the luggage and all
nope even better there were 4 seats and due to w amp b first to raise hands got to move up i was not fast enough,no even better there were four seats and because of wθamp b first to lift the hands had to move i was not fast enough
look at this beauty ua dc 10 united airlines ua hope you like this beauty ua,watch this beauty ua dc 10 companies unies ua hope you love this beauty ua
it was such a lovely part of this long day attendants on ua5168 most ua795 were beyond exceptional today,it was such a beautiful part of this long day the attendants on ua5168 almost ua795 were beyond exceptional today
i trust you enough to put my coat in my checked bag,i trust you to put my coat in my bag
finally made it to rep who solved my problem,he finally managed to push back who solved my problem
thanks gate agent extraordinaire seau fong for helping me get re booked out of boise and hopefully home to nyc sometime tonight,thank you agent of the extraordinary door fong bucket for helping me re book me out of wood and hopefully house in nyc one day tonight
thank you all for being an amazing airline who knows how to treat their customers you guys rock,thank you for being an incredible airline that can handle their customers you are rock
went to customer service kiosk and they were able to help out still thanks for following up,went to the kiosk customer service and they were able to help out thanks again for the follow up
nope all set thx for checking,we did not solve it to check
on 2 20 denver ap gate b91 destination santa fe agent ashley did an amazing job in the face of an angry traveler kudos,on 2 20 denver ap door b91 destination santa fe agent ashley did an incredible job in front of an angry traveler kudos
i should be fine they automatically changed my connecting flight for me so i would not miss it a work,i m fine they automatically changed my correspondence flight to me not to miss it a work
thx off the response finally got through the 45 min wait and talked to someone,i finally managed to wait 45 minutes and i spoke to someone
thx just dm d conf mqxc64 amp mpwnc2 any help appreciated,finally conf mqxc64 amp mpwnc2 any help appreciated
this is why i fly never have any issues,that is why i steal never have problems
great flight into pvd smallest plane i have ever been on and smoothest landing ever,a big flight to pvd the smallest plane i ve ever been on and the sweetest landing ever
thanks so much my passport was recovered,thank you very much my passport has been recovered
thanks just got on a couple of minutes ago great service on flight 479 btw please pass it to the team on that flight,thank you a few minutes ago excellent service on flight 479 btw put him on the team on that flight
your agents and service on my weekend trip have been amazing thank you,your agents and service on my weekend trip were amazing thank you
will do just need to get cvg and my bag too thanks,it will i just need cvg and my bag too thank you
we got it thanks,we got it thank you
this is probably the least dependable airline in the western hemisphere does not belong in star alliance but skyteam,it is probably the least reliable airline in the western hemisphere does not belong to the star alliance but skyteam
amazing hospitality and helpfulness from anthony lastella great staff uo uo uoiou def flying again,the incredible hospitality and the helpfulness of the antihony lastella great staff uo uo uoiou def flying again
just touched down in miami not too far off nicely done united uo,just hit in the miami not too far nicely made united uo
it was very comfortable now waiting for our luggage,it was very comfortable waiting for our luggage
finally got through and they were very helpful appreciate it,they finally succeeded and they were very useful thank you
thanks for the effort i can get the earliest though i will make a complaint for a refund as i am losing one business day tomorrow,thanks for the effort i can get the sooner if i m going to file a complaint for a refund because i m losing a business day tomorrow
worked out after all thanks for your immediate reply,it worked after all thank you for your immediate answer
nicole at quito airport took great care of us this week handled lost baggage seat changes very professional nice pat her back,nicole at the quito airport took care of us this week lost baggage change of seat very professional nic give it back
thanks for leaving our 3 year old in his own row flight 360 lax iad,thank you for leaving our 3 years in its own 360 lax iad flight
very quick ty i am sorry to hear this can you please follow and dm me the details of what transpired jh,very fast i m sorry to hear that can you follow and dm the details of what transpired jh
just did thank you,that is it thank you
i am thank you,thank you
thank you for flying me out of the mess at iad and out to san diego,thank you for kicking me out of the shitty in the ied and san diego
thank you but the person in houston could only get me a flight routing through newark nj and i m going to sfo,thank you but the houston person could only fly me through newark nj and i m going to sfo
my bag reference id number is ind43728m thanks for looking at it,my bag reference number is ind43728m thanks for looking
one lady helping the 12 of us with luggage,a lady who helps us 12 with luggage
met with agent all taken care of thx for reply,i met the agent all taken care of thx for response
i still like you united airlines,i still love the unified airlines
thanks for the epic service on 863 always a pleasure outstanding crew,thanks for the epic service on 863 always an exceptional crew
life goal complete iou,goal of life full or
just sent a dm thank you for the acknowledgment,i sent a doctor thanks for the recognition
thank you much appreciation for your help,thank you thank you so much for your help
such a relaxing space for a drink before my flight at global first lounge,such a relaxation space for a drink before my flight at the first world trade fair
what a really great amp flattering story about you you should be very proud via,what a really great and flattering story about you you should be very proud via
so is that two seats avail so far for us,so two seats are available so far for us
732 from denver we just boarded fingers crossed we get into the air,732 denver we just boarded the cross fingers we come to the air
thanks for the upgrade please try to get my company to approve more business class travel,thank you for upgrading please try to get my company to approve more business class travel
hubby made it by the skin of his teeth,hubby made it by the skin of his teeth
thank you excited to be working with you guys,thank you happy to work with you
tonight you made this fred flintstone happy with an upgrade to 1st class,tonight you made this flintstone fred with a upgrade to the first class
that is great pls let me know when u start,that is great please let me know when you are starting
thanks not sure arranged move to the earlier flight but i m at the gate with a seat assignment super nice agent at gate c4 ord,thank you i m not sure i m going to the previous flight but i m at the door with a seat assignment super nice agent at door c4 ord
i see thanks for explaining,i see thank you for explaining
