0,1
_uo_uoiouiou_uon when are you guys going to start flying to paris? you're welcome.u,uo_uoiouiou_uon when are you going to start flying to bets?
what is your policy on flying after surgery? i am still waiting for answer so i can tell me doctor.,What is your flight policy after surgery? I'm still waiting for the answer so I can tell me doctor.
i think i left something on the plane yesterday. who do i call...ah!,I think I left something on the plane yesterday. who I call.
i need you to follow back in order to dm.,I need you to sweat to stop me.
need to start flying to . _u__uu_ua_ua,need to start flying at . u_uu_ua_ua
they told to check with the airline regulation first so that is why i contacted you.,"They said to check with airlines regulations first, which is why I contacted you."
what is your policy on flying after surgery?,What is your flight policy after surgery?
posts second consecutive full-year net profit -,second consecutive year posts -
results handily exceed forecasts -,results easily exceed the forecast -
"i applied for a position in ,and i was wondering if you guys received my application.","I asked for a job at , and I was wondering if you received my request."
achieves a second year of profitability despite revenue pressure ... -,reaches a second year of profitability despite the pressure of income ... -
"gives positive outlook, but sees increased competition -","gives positive perspectives, but sees increased competition -"
weather delays &gt; next few weeks,delays &gt; weeks to come
check the website before you go to the airport!,check the site before going to the airport!
pilot says we expect a choppy landing in nyc due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,pilot says we are waiting for a landing in nyc due to some inflated winds with a temperature of about 5 degrees &amp; w/ the ventile -8
is saving my sanity right now:,save my sanity right now:
missed my flight. how does standby work?,I missed my flight. How does it work?
brought it all the way across the country today i see,I've made all this way across the country today
are you ready!? let's say it together.. 'noooo turbulence today!' _u,Are you ready? Let's say it together. 'noooo turbulence today' _u
can u help this _uou needs urgent treatment in_ua14_uau2y old battling cancer could u help with flights _uon#freyasfund,can u help this _uou needs urgent treatment in_ua14_uau2y old cancer fight could help with flights _uon#freyasfund
may start service to hawaii from this year,can start the service from this year
add dtw and i'm sold!,Add it and I'm sold!
momma i made it! _u_u_u,"Mom, I did it! u_u_u"
please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am. need it returned. call 914-329-0185.,Please contact me about the portfolio left on the flight vx 27 from jfk to sfo tonite seat 7am. I need him back. Call 914-329-0185.
help. i was on flight 27 from jkf tonight. seat 7c left portfolio. need it back!!,Help. I was flying jkf tonight. seat 7c left wallet. We have to get it back!
seattle bound. wifey got me the duffle for vday. she's a keeper!!! holla!!!,A bottle of sea. The woman took me the dick for vday. She's a guard! Holla!
debbie baldwin gave a performance of the safety demo this evening on vx919,debbie baldwin gave a performance of security demo tonight on vx919
many thanks for the follow. looking for any help_u _uon_uaa_ua_uon_ua14_uau_uon _u_u_ui_u_u,Thank you so much for the rest. search for any help_u uon_uaa_ua_uon_ua14_uau_uon u_u_u_u_u_u_u_u_u
"nice, lofty view",beautiful view loft
is my new go to airline,This is my new departure for the airline
can you help in need of some help in _u_u_uaa_ua_u_u_ua14_uau_u_u,can you help in the need of any help in u_u_uaa_u_u_ua14_uau_u_u_u_u_u
flight booking problems flight to uphold my status match. do taxes on ticket count as earned status points?,flight flight flight booking problems to maintain my match status. taxes on the ticket account as status points earned?
to jump into the market,to jump on the market
can you help? left my blazer in. kooples jacket bag at 3rd row second seat from right gate 36 t3 lax.. flight to sfo,Can you help? I left my blazer. Kooples jacket bag with 3rd row of second of right door 36 t3 lax. flight to sfo
partners with checkout as mobile payment method to help boost mobile conversion rates,partners with payment as a mobile payment method to help stimulate mobile conversion rates
i would like help with some flights please.,I'd like to help you with flights.
bruh ui@virginamerica: turn down for what.,bruh ui@virginamerica: drop for what.
digging the swanky pink mood lighting during the flight from nyc to sfo. just needs a cabaret singer. think about it!,dig the crispy pink mood lighting during the flight from nyc to sfo. You just need a cabaret singer. Think!
"done, but i need the receipt asap. could you please help?","It's done, but I need the cash. Can you help?"
adds pillows instead of lie-flat seats in first class arms race by,adds pillows to the place of flat seats in the first class arms race
"i just did, how can i dm? do u have to also add me?","I just did it, how can I get it? Do you have to add me?"
"anytime, sugafly.","At any time, sugafly."
i need a receipt for a flight change. can you send one?,I need a receipt for a flight change. Can you send one?
ceo says &amp; have strayed from low cost model.,ceo said &amp; have lost the model at low cost.
a brilliant brisk am in boston in cue for vx363,a shiny lamp with cue boston for vx363
atlantic ploughs a lone furrow in the,the atlantic carts a solitary forehead in
atlantic ploughs a lone furrow in the,the atlantic carts a solitary forehead in
atlantic ploughs a lone furrow in the,the atlantic carts a solitary forehead in
when are you flying to hawaii,when fly to hawaii
.@virginamerica if only you guys were starting those flights at the end of the month! guess iuam still road tripping on feb 27u_,@.virginamerica if only you started these flights at the end of the month! guess iuam always travels on road on feb 27u_
announced new route to austin w/fares from $39/way.,announced a new route for austin w/fares from $39/way.
really? sprint? i thought you guys were 'kewl'! 0_0,Really? I thought you were kewl! 0
you should have 39 dollar lax-las fares!!!,You should have $39 lax-las!
you should still develop an app - then you will be my favorite airline.,you should still develop an application - then you will be my favorite airline.
no a's channel this year?,No channel this year?
only thing i see on passbook is virgin mobile mexico. how do i integrate?,The only thing I see on the passbook is the virgin mobile mexico. How can I integrate?
is helping me step up my game!,Help me play my game!
announces new nonstop connecting &amp; $39 intro:,announces new non-stop connection and $39 intro:
adds austin-dallas love field route.,add austin-dallas route love field.
"- can you tweet me the cancelled flight/chng fee for a flight? or can i rebook under one of your affiliates? if so, who are afiliates?","- Can you tweet me the cancelled flight charges for a flight? or can I rebook under one of your subsidiaries? If so, who is afiltered?"
"now, when will we see virginamerica come to philadelphia (phl).","Now, when will we see virginamerica coming to philadelphia (phl.)"
to start 5xweekly flights from to on 28apr,to start 5 weekly flights from to 28apr
nice to see you expanding in texas but don't forget about us here in i would love to see more flights out of here!,nice to see you spread in texas but don't forget about us here in I would love to see more flights out of here!
to battle on route via,to fight on the road via
i miss the in san jose,I missed the san jose
can we make every vx plane with why should austin be the only one getting nerd love?,Can we do all the planes with why austin should be the only one to have a neat love?
please add more frequency to pdx portland,please add more frequency to pdx portland
can u help with flights to get a 2y old battling cancer who needs treatment in _ua14_uau _uon _u_u _uon,can help you with flights to get 2-year cancer that needs treatment in ua14_uau _uon u_uon
does virgin america fly direct from seattle to nyc or boston?,Does the virgin america fly directly from water to nyc or boston?
save some for 871 tomorrow am!,Keep it for 871 in the morning!
club virgin is bumping in new york,virgin club is sprinkled with new york
is that,It's just
...please come to minneapolis st. paul!,. Please come to minneapolis st. paul!
yes fyi my bff,"Yeah, I got my bff."
do you have an application for ios? was looking and only saw virgin mexico &lt;/3,Do you have an application for ios? was looking for and only seen virgin mexico &lt;/3
good point!,Good point!
.@virginamerica i heard he has a virgin mobile hotspot,@.virginamerica I heard he had a virgin mobile hotpot
you got cheese plate flights too.,You also have cheese flights.
on all your flights?,on all your flights?
how come abc is the only one of the network channels you don't have?,how to come abc is the only network channel you don't have?
"dear virgin customer, while you're stranded in sf for 3 days &amp; $1000cost- we'll do the very least we can to accommodate you!","Dear virgin client, while you are stuck in sf for 3 days and $1,000- we will do the least we can to welcome you!"
should use this in their next airline commercial lol ::,should use it in their next commercial air lol ::
any way to change from main cabin to main cabin select (on same flight) without paying a change fee penalty?,any way from the main cabin to the main cabin select (on the same flight) without paying a change fee penalty?
can you give me silver status for 12 months?,Can you give me the money status for 12 months?
are there any sign up bonuses to enroll in elevate?,Are there any bonuses to register to raise it?
morning. if i have a question regarding elevate points &amp; flights can i dm you?,Hello. If I have a question about high points and flights can I be dm?
still waiting to see _u_,waiting to see u
was wondering if you guys recieved my dm and we're able to potentially respond asap,I was wondering if you have recieged my dm and we are able to answer an asap
ui@virginamerica: book out of town with fares from $59/way (+restr).,ui@virginamerica: book out of town with rates from $59/way +(restr.)
even on international flight glasgow to the u.s.? then what about orlando to newark? all 90 mins?,Even on the international flight glasgow to u.s? and the orlando to newark? 90 minutes?
"i understand, but it's tough when there is no way to get to the airport w/o serious risk of an accident. it's a steep price.","I understand, but it's hard when there's no way to get to the airport with a serious accident risk. It's an abrupt price."
flying gla-mco in a few weeks. how long do we have to be at airport for before departure for both international and domestic? ta,stealing ice-mco in a few weeks. How long should we be at the airport before departure for international and national countries? ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
why not? is it a law or a policy?,Why not? Is it a law or policy?
"no i don't, but i'm sure united have my info on its system.","No, but I'm sure we have my information on his system."
just submitted my response on the link you sent.,just submitted my answer on the link you sent.
"yes, david allan send an email with this number (kmm24999563v99860l0km) and case#8719519","yes, david allan send an email with this number (kmm24999563v99860l0km) and case#8719519"
"yes, a paper voucher that i got on january 26th 2015","Yes, a good paper I received on January 26, 2015"
"do i need to use a chase united club pass for my 8yr old son, or can he come in with me on my pass?","Should I use a hunting club for my 8-year-old son, or can he come with me on my way?"
and what am i suppose to do with that number?,And what do I have to do with this number?
i lost a voucher that i was given in miami aeroport on jan 26. i did not use it.,I lost a good I received at miami aeroport on Jan 26. I didn't use it.
gee that's like almost caring about ppl more than $$. think i'm more int in having a trusted adult w/ daughter .,It's like taking care of almost ppl over $. I think I'm more int with a reliable adult with a girl.
that's right- with an overnight miami.,That's right. with a night mum.
have clients with an 11 hr layover at iah (during the day). will they have to claim &amp; recheck luggage. or will it be taken care of?,having customers with an 11-hour rest at iah (during the day.) will have to ask and rever the baggage. or will it be taken care of?
"i am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations","I'm trying to find out if the lender's seat is new or used, a used car seat is illegal according to security rules"
i dmed you the details,I put the details on you.
"kewl. will also let them know the overhead bin over my row was ""inop"". i love a good abbreve.",kewl. I'll also tell them that the trash on my line was inop. I love a good abbreve.
thanks again for your concern. i will contact customer care upon our return from australia.,Thank you again for your concern. I'll contact the customers when we get back from Australia.
6533 ord to dca,6533 ord to dca
"cancelled flighted our flight, didn't rebook us on added flight, now have to drive from a denver to kc....thanks!","canceled our flight, we didn't rebook on the added flight, now we have to drive from a denver to kc. thanks!"
your announcement for pre boarding only addresses mobility. my disability requires me to travel with a lot of stuff. do i preboard?,your ad for pre boarding only addresses mobility. My disability makes me travel with a lot of things. - I'm prevising?
the os isn't controlled by me but rather . app is new.,The bone is not controlled by me but rather. the application is new.
it was last night's 1235/ord-lga.,It was 1235/oud-lga last night.
thank you !,Thank you!
dm these nuts,dm these nuts
thanks for the info i already knew...,Thank you for the information I already knew.
airline trouble this winter &amp; not getting good customer service? contact we negotiate resolutions for you!,the airline troubled this winter and not get a good customer service? contact us negotiate resolutions for you!
thank you.,Thank you.
is there an email address i can reach? too long for a dm.,Is there an e-mail address I can reach? too long for a m.
so do i need to book two one ways in order for her to fly as an unaccompanied minor?,So I need to book two ways to fly as an unaccompanied minor?
pls help baby hannah get the life saving surgeries she requires.she needs your help.pls donate/rt,ps help hannah baby to get the rescue surgery she requires. She needs your help. donate/rt
"bet you wont honour them, like mine ey","You won't honor them, like mine."
"i guess that's too much ask, huh?","I guess it's too much to ask, huh?"
please be good to me this weekend!,Be nice to me this weekend!
a tourist wonder: super tides and tide of the century at french and u.k coasts:,a tourist wonder: super tides and tides of the century to the French coasts and u.k:
yall should probably work on that.,yall should probably work on it.
yes please! trying to get to pop- in newark now....,"Yes, please! I'm trying to get to newark."
i know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours? _ua,"I know it's probably a no, but is there a way to get a cheaper ticket if the flight leaves in a few hours? - You're right."
can someone please explain the process of of what happens to property found on a plane after passengers leave at heathrow ?,Can anyone explain the process of what happens to the property found on a plane after the departure of the passengers at the hurricane?
dm does not work what do i do?,dm doesn't work what I'm doing?
how about 3659 yul-ord?,and 3659 yul-ord?
done and done,done and done
.thnx for the response bot. it seems this 'improvement' could be easily attained. is your 1st class service really only worth $50?,.thnx for the answer box. it seems that this improvement could be easily achieved. Is your first class service worth only $50?
"booked award tix on thaiairways but i'm not seeing a conf# for them, just the united flight booking problems#. can you get get the thai# for me?","I booked the tix price on the thaiairways but I don't see any conf# for them, just the uni flight booking problems.# can you get the thai# for me?"
is flight 587 from dfw to ord currently on-time? i see an advisory that dfw may be affected by weather,Is Flight 587 of the dew now? I see an opinion that the wind can be affected by time
so if i'm flying 1st class just one leg to chicago but not on my long flight to china am i still able to use the lounge in chicago,so if I fly the first class just a chicago leg but not on my long flight to porcelain I am always able to use the chicago lounge
okay thank you,Thank you.
i've filed the claim but have no way of calling for updates. is there another way to do this?,"I filed the application, but I have no way of requesting updates. Is there another way to do that?"
any luck with finalizing my reservation? i dm'd information to you. please let me know what else you need. want to confirm asap. thx,a chance to finalize my reservation? I'd give you information. Please tell me what else you need. I want to confirm the jump. thx
keep me updated. let me know that the bags make the flight to j-burg,Keep me up to date. Tell me the bags fly to J-burg
i would like to know what's going on before his current flight lands.,I'd like to know what's going on before his current land.
this is not a local united number for malaysia 0011 800-55558000. what is your local united airlines here in kuala lumpur ( kul )?,This is not a local number for malaysia 0011 800-55558000. that are your local airlines united here in kuala lumpur ( kul )?
"i send you an urgent message via eservice@united.com. bg0kwm narayanan. please respond asap. also, no local united tel kul","I send you an urgent message eservice@united.com bg0kwm narayanan. Please answer. also, no single local such kul"
thanks! will you guys be getting the a380s anytime soon?,Thank you! Are you gonna take the a380s soon?
i sent in my feedback. thank you.,I sent my comments. Thank you.
yes i do.,Yes.
deep vein thrombosis,deep vein thrombosis
unfortunately still on the tarmac at and definitely missing my ride from,unfortunately still on the tarmac and certainly miss my journey
what time does check in open for flight no ua80 from manchester to newark today ?,What time is it open for the not ua80 flight to Newark today?
dm sent,dm sent
"follow me back, please, and i'll happily dm you the link because i'd rather not share my travel plans publicly.","Follow me, please, and I will be pleased to do so because I prefer not to share my travel plans publicly."
nah you wouldn't,nah you wouldn't.
our vacation's going to be ruined w/ 3 days of rain. : ( the change fee for 2 of us is nearly cost of original flight. can you help?,our holidays will be ruined with 3 days of rain. : (the cost of change for 2 of us is almost costed from the original flight. Can you help?
i sent the message. let me know asap.,I sent the message. Let me know.
"i understand, thanks","I understand, thank you."
"my post was just more of disappointment. i'm a frequent united flyer, it was a simple ??. 1 bad apple doesn't spoil the bunch.","My job was more disappointing. I'm a common plane, was it simple? One bad apple doesn't ruin the pile."
please help... i am in ethiopia adopting a two year old child. have an existing confirmation need to add child to reservation.,Please help. I'm in Ethiopia by adopting a two-year-old child. having an existing confirmation must add the child to the reservation.
"question:are there onboad 110 volt outlets in all planes? if so, where?","question: Are there 110 volts in all planes? If so, where?"
twitter isn't letting me dm you..,twitter doesn't let me get you out of it.
i hope so too,I hope so.
an idea: monitor mileage members travel patterns enough to know when they change jobs/lose status...and make the transition easier.,an idea: to monitor the travel models of mileage members enough to know when they change employment/loss status. and to facilitate the transition.
where is my flight voucher?,Where's my flight voucher?
"rebooting chicago dispatch system, need as i'm tired of sitting on planes","restart the chicago shipping system, need as I am tired of sitting on planes"
the aircraft closest to gate was for the other flight and the one closest to our gate was going to chicago.,the plane closest to the door was for the other flight and one closest to our door was going to chicago.
my mom left her kindle on flight 1544 today. burgundy case with a light. seat 27d. did anyone find it?,My mother left her kind in flight 1544 today. case with light. seat 27d. Did anyone find him?
decisions decisions we'd love for you to try our service. we offer status match too. ^kpu,decisions we would like you to try our service. We also offer status. ^kpu
need more info on that! we have great amenity kits. pj's not included. we status match aa. ^kpu,I need more information on this! We have super kits of alienity. pj is not included. We have the status of correspondent. ^kpu
do you have any flights with lie flat seating from stl to pdx around the date of march 5?,Do you have flights with flat pdx stl seats around the date of March 5?
"hi, when do direct flights from houston to reno begin? don't see any days in march?","Hello, when the direct flights of houston to reno begin? Can't we see days in March?"
like continental's chicken feat fairs,like the chicken fairies of the continent
can you assist with current flight status for flt# 1016 out of dfw tomorrow at 6:55am?,Can you help the current state of the flight for Flight No. 1016 on the dew tomorrow at 6.55?
"to be clear on my luggage comment, i am referencing the photo attached. flight 6232 to jac","to be clear on my baggage comment, I refer to the attached photo. flight 6232 to jac"
greetings. ua club member here. any idea if i can use the air canada lounge at yvr. flying ua tomorrow.,Greetings. The member of the club ua here. any idea if I can use the air canada lounge to yvr. fly tomorrow.
how is mexico not international from the us?,How is the mexic not international of us?
just sent thank u rt please dm your confirmation number if reflight booking problems is needed. thank you. ^ey,just sent thanks u rt please dm your confirmation number if the reflight booking problems are necessary. Thank you. ^ey
so whatuas the deal? do u provide voucher for overnight or am i cozy on the floor at ?,"So, what are you doing? do u provide a good for the night or am I lazy on the floor to?"
please upload the march on-demand entertainment listing on your website! iou,Please download the March entertainment list upon request on your website! iou
"did you have seen my message today?? about a mcdonnell douglas dc 10 model?? i will hear it if you read it, goodnight now","Did you see my message today? on a model mcdonnell douglas dc 10? I'll hear it if you read it, good night now"
what's a girl gotta do to get a flight name change when she bought one for a mean ex boyfriend and needs a girl's trip stat?!,What does a girl have to do to get a flight name change when she bought one for an ex-boyfriend average and needs a girl's travel statistics?!
thank you. we are signed up for notifications. we shall watch and wait! auau,Thank you. we are signed for notifications. We'll look and wait! auau
i would love if someone could get me back to austin tonight and i do not wish to wait til tomorrow morning.,I'd love someone to bring me back to Austin tonight and I don't want to wait in the morning.
i have a 0530 flight out of dfw on tuesday. how far in advance will you give notice if cancelled flightled?,I got a flight of 0530 outside my back on Tuesday. how far forward will you give a notice so cancelled in flight?
when will direct flights from belfast intl to newark resume from their winter break? thanks.,when direct flights from belfast intl to newark resume their winter break? Thank you.
"yes, after this awful weather it appears i can get home","Yes, after that bad weather it seems I can go home"
the person is currently bettween gates 71a and 73 in lax,the person is currently gates 71a and 73 in lax
thank you for the quick response but i cannot dm you until you follow me as well,"Thanks for the quick answer, but I can't dm you until you follow me too"
"i need the phone number to baggage claim in lax, my mom left her phone and someone called saying they would put it there but on","I need the phone number at the lax baggage store, my mom left her phone and someone called saying they'd put it there but on it."
will not have to honor absurdly low mistake fares. vi_a,will not be obliged to honor ridiculously low error prices. vi_a
"thanks! it's 35k miles from rtb to europe, to do a multiple destination so we could stop over in us on way/way back- mileage diff?","Thank you! is 35 km from rtb in europe, to make a multiple destination so that we can stop on the path / return of the diff kilometre?"
done,made
"thank you, ^jh, appreciate the prompt responses--me and other passengers will be doing so.","Thank you, ^jh, appreciate the quick answers to me and other passengers will."
"hi guys, do you have a general enquires email address please? thanks david.",Do you have a general email address? Thank you.
"i am buying 2 yo own seat on 3 legs of intl trip, car seat? required? if not- then allowed? can child still sit w/mom after takeoff?",I buy two yo seats on three legs of car travel. required? If it's not allowed? Can the child still sit in w/mom after takeoff?
.@united for those playing along at home:,@.uni for those who play at home:
thanks had a question about the wait time for baggage on ua6366,Thank you had a question about the waiting time for the baggage on ua6366
"8602947, jon at thanks.","8602947, thank you."
flight booking problems for a travel writers trip i am hosting and need to be happy when i land! do you have the cute pjs aa does?,flight booking problems for a travel writers' trip I am welcoming and must be happy when I land! You got the cute pjs aa?
but i don't see aa,but I don't see aa
did you find out where it is? thanks,Did you find out where he is?
i can't dm you so here's the confirmation g8cvwj - please is there any way i can make it to kailua tonight? thank you,"I can't tell you this is the g8cvwj confirmation - please, can I do it to kailua tonight? Thank you."
definitely will!,I'm sure it is.
what gate is ua5396 leaving from?,Which door is ua5396?
fails again. saves the day.,Again. It saves the day.
it's not my first time flying to the us. i have medical info. looking for practical like my adapted seat cushion allowed on?,It's not my first time. I have medical information. practical search as my suitable seat cushion allowed?
"hi, im flying sfo-lax-sal-clo. my connecting time in lax is 1h45m. is it enough time? do i have to collect my bag and recheck on av?","Hello, sfo-lax-sal-clo. my connection time in lax is 1h45m. Is that enough time? Do I have to get my bag back and check on av?"
"states faundation was by faith judeo cristian,@not it was by ideologias.@","the fauntion of the states was by the faith judeo cristian,@not it was by ideologias@."
are you able to see if there are seats open on another flight??,Can you see if there are seats on another flight?
hahaha. at least they gave u a refund.,At least they gave a refund.
but you have received confirmation via email that you are confirmed and ticketed on this flight.,but you received an email confirmation that you are confirmed and registered on this flight.
"after speaking to a united customer service rep the night before a flight, confirming that everything is ok with your reservation..","after talking to a customer service united at night before a flight, confirming that everything is okay with your reservation."
any other way ord to abq anytime within the next 7 hours?,any other way to head to abq in the next 7 hours?
