0,1
"for my grandma ella's 80th, she would &lt;3 a bday greeting from your flight crew! she was a stewardess for eastern airlines.","for my grandmother, she would have &lt;3 a day of salvation from your flight crew! She was a hostess for the eastern airlines."
just bought tix for atx - dallas route - thanks for adding that! love yr airline &amp; yr website is best transactional site ever,just bought tix for atx - dallas route - please add this! the best transactional site ever
gave a credit for my late flight flight yesterday. great service !!!! that's a wow moment! unexpected gesture!,I gave a credit for my late flight yesterday. great service !!!! It's a weird time! Unexpected gesture!
had me at their safety video . . . loved my first cross country flight.,had me during their security video. . . loved my first cross-country flight.
that doesn't look to fat to me! it looks yummy!,It's none of my business. It looks delicious!
omg omg_u_u nonstop dallas to austin on virgini_uiou,omg omg_u_u nonstop dallas à austin sur virgini_uiou
your planes are really pretty. just thought u should know that.,Your planes are really pretty. I thought I should know.
thank you,Thank you.
good to be home,Good to be home
"thanks for that. been needing a way to make those austin trips from dca, and now you've come through!","Thank you for that. I need a way to make these dca's fate trips, and now you've come!"
this is too cool! never been on ur planes but now i will!!,"It's so cool! I've never been on planes, but now I will!"
great. well deserved.,Great. Well deserved.
got it. all set - thanks!,Got it. - Thank you!
giants and virgin america. a match made in heaven.,Giant and virgin American. A match made in paradise.
"thank goodness!! also, see you friday, nwk&gt;sf.. boom!","Thank God! also, see Friday, indicative nwk;sf. boom!"
i luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? i'm not a caffeine drinker,"I drink people and produce! 1 thing is that you have the charge for herbal tea, but not black tea? I'm not a caffeine drinker."
thank you! see y'all soon! i'm excited to see the expansion of destinations. spread those wings!,Thank you! See you soon! I'm very happy to see the expansion of destinations. spread these wings!
has the most incredible customer service i've ever experienced! so refreshing!,has the most amazing customer service I've ever known! so refreshing!
", am i dreaming? did you really just open up a route between dallas and austin?! and does this mean houston might be next?",I dream? Did you really open a route between Dallas and Austin?! and that means that Houston will be next?
omg finally,omg finally
the dal-aus route makes my day!!!!,The road to the dal-aus is my day!
awesome deals dal-aus for only $39 each way!,Great business of the dal-aus for only $39 per way!
"love it, taking on in their backyard! consumers win when biz competes.",I love it. I'm in their garden. consumers win when biz competes.
uu is flying from love to austin now. that is most excellent news.,I'm stealing love in fate now. It's a great news.
congrats vx on the new route! iou_u_a,Congratulations to vx on the new road! iou_u_a
i am all about the in flight artisanal cheese and wine pairing.,I'm all on the artisanal cheese in flight and wine.
that's classy.,It's classy.
i'm sure a lot of your 747 and 777 jfk-lhr flights go a lot faster than 513mph with a strong tailwind.,I'm sure many of your flights 747 and 777 jfk-lhr go much faster than 513mph with a strong rear wind.
now it's just t-minus 32 minutes until my elevate a silver upgrade window opens . _ua_uo,Now it's just t-less 32 minutes until my student opens a silver upgrade window. ua_uo
would have been a rough trip but luckily we were on a flight.,"It would have been a difficult trip, but fortunately we were flying."
"another perfect flight. how come on your planes, the sun visors can stay down? other carriers make you raise them?","Another perfect flight. How is it that your planes, sunglasses can stay below? Other carriers are getting you up?"
"nice rt the man of steel might be faster, but we have wifi uo just saying.","the man of steel could be faster, but we have the uo wifi just say."
i love the dancing little richard. cool beans.,I love dance. fresh beans.
i donuat use passbook =/ i still love you though &lt;3 iuall just use my email in the future.,i donuat use passbook =/ I still like you that &lt;3 iuall just uses my email in the future.
thanks for the free birthday points! y'all are all right with me!,Thanks for the free birthday points! You're fine with me!
thanks so much for sharing. just added it to my site,Thank you very much for sharing. has just added it to my site
dad on segway is the best part of this whole infographic!,Dad on track is the best part of all this infographic!
are there any plans for a short haul airline in europe? would defiantly fly with you guys,Are there plans for a short-term transport company in europe? I'd fly with you.
wifi and better seating.,wifi and a better living room.
".@virginamerica not only was it great, but you return my calls the day after. couldn't ask for more.","@.virginamerica not only was it great, but you return my calls the next day. I couldn't ask for more."
"so loyal that i'm driving to from to fly virgin, since you cut flights","so loyal that I drive to the virgin, since you cut off flights"
you guys are perfect as always! &lt;3,You're perfect as always! &quot;3
thanks! y'all have some of the best customer service left in the industry.,Thank you! You all have the best customer service that stays in the industry.
really wish you'd fly out of those fares are amazings,"If you were stealing out of these prices, it's amazing."
just got on the 1pm in newark home to la. your folks at ewr are incredible,I came to newark at home. your parents to ewr are amazing
flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul.,flying lax to sfo and after watching the super movie lineup I really wish I was on a long breath.
thanks,Thank you.
thanks for taking care of that mr!! happy customer.,Thank you for taking care of this gentleman! Happy client.
thanks -- we filled it out. how's our luck with this? is it common?,"Thank you, we filled it. How's our chance with that? Is that common?"
thanks,Thank you.
thanks. it is on the same ticket.,Thank you. It's on the same ticket.
follow me please this airline is beautifull a,Please follow me this airline is beautiful
just wanted to let you know how wonderful rosetta the gate agent was working flight 6457 dan to ase. let her know she wasappreciated,I just wanted to tell you how the marvellous rosetta the doorman worked 6457 dan to ase. She knows she was
"- thanks for your help...got me what i need, but its an issue with . i guess i sit awhile longer.","- Thanks for your help. gave me what I need, but his problem with. I guess I'll sit a little longer."
"""airport snow removal method keep up the good work folks, this is where cessna's become 747's!","""the method of snow removal from the airport keeps the good people working, that's where Cessna became 747's!"
thank you for that. am i able to claim any interim expenses or is the cost of the stuff up on me?,Thank you for that. Am I able to claim provisional expenses or the cost of things on me?
i flew united last month and the experience was awesome!,I stole one last month and the experience was great!
"441, which also had 1 working wc in coach. good thing this bird landed ahead of schedule. i have to use the wc stat.","441, who also had 1 wc in coach. It's a good thing that this bird landed before the schedule. I have to use the wc stat."
for the record- rozana at newark was lovely and helpful.,for the record- rozana in newark was charming and helpful.
thx for update,thx for update
despite my bag not making it to newark good informative email tracking updates help!,despite my bag not to do it to newark good informative email followed up updates help!
"wow. what a deal. again, 30+ plus seats available. easy change to make a customer happy.",What a deal. 30 more places available. easy change to make a client happy.
private jet would have been cool! do does not work. i'll try again,Private jet would have been cool! Doesn't work. I'll try again.
"thanks, just sent","Thank you, just sent"
"has unrivalled access to with flights to the u.s. from 7 uk airports, with nonstop or one-stop connections year-round","has unmatched access to flights to the u.s of 7 uk airports, with non-stop connections or a-stop all year round"
thnx for the info,thnx for news
kudos for not cancelled flightling flights from dfw this morning. united usually first to panic...,kudos for unrelied dfw flights this morning. First panic.
another awesome new plane flight 1584 and extremely nice captain steve connolly.,an impressive new plane flight 1584 and very pleasant captain steve connolly.
every united flight between saipan and guam is an adventure! you never know when old plane will be operational,every single flight between the sword and the guam is an adventure! You never know when the old plan is operational
thank you for the cheese platter and abundance of entertainment options. time just flew by.,Thanks for the cheese tray and the abundance of entertainment options. Time passes.
thank you. been trying for two days to set this up.,Thank you. I tried for two days to settle this.
definitely a compliment! i really thought my bag was lost after it was sent on to another airport. in the end i am a happy customer,A compliment! I really thought my bag was lost after it was sent to another airport. at the end I am a happy client
thanx so much. you followed through and emailed me a $1000 ticket voucher. they do care,"Too much. You followed me and sent me a $1,000 ticket voucher. They don't care"
"this will definitely be a trip to remember ewr-sti second of the season, first on seat 35a because it pays to be loyal!","It will certainly be a trip to remember ewr-sti second of the season, first on seat 35a because it pays to be loyal!"
you are one great airline _u,you are a great airline _u
ui@united: we'll see what we can do. ^knu we are running! most of this plane is running. thanks for the help!,ui@united: we will see what we can do. We're running! Most of this plane is running. Thanks for the help!
we just flew with united from aus (austin bergstrom) to cancun intl. best flight ever! the 737's are not too big... not too small!,We just stole with a pair of austin bergstrom to intl cun. Better flight ever! The 737 are not too big. Not too small!
"flight ua3576, gate b1. and tell ray i somehow made it on to the 736 flight out of iah and didn't have to wait for the 917 one.","flight ua3576, door b1. and say to strip that I did it on flight 736 of iah and did not have to wait 917."
but thanks for asking,but thank you for asking
you too!,You too!
is my favorite airline.,is my favorite airline.
man i can't wait to book my ticket now! thanks jp you're a life sabe,"I can't wait to book my ticket! Thank you, you're a life sabe."
you guys continue to impress me in houston.,You keep impressing me in a houston.
made the upgrade list. will fly 1st tomorrow (for 40 min) for the first time ever! _uai,made the upgrade list. the 1st tomorrow (for 40 min) for the first time! I don't know.
"not just refunded, but for those of us who are on vacation to get a free room night to make up for making us sleep in dia","not only refunded, but for those of us who are on vacation to get a free room night to make us sleep in dia."
thanks for the reminder. it's been a fun ride.,Thank you for the reminder. It was a fun trick.
terrific. many thanks. looking forward to being back on ua tomorrow. had a great flight up to vancouver.,Great. Thank you very much. I can't wait to be back tomorrow. I had a big flight to vanquished.
i appreciate your efforts getting me home!,I appreciate your efforts to bring me home!
"despite shaky connections, looks like i'll get home tonight. great job, - was touch and go for a while..",I'll be home tonight. A good job was touching and spending a while.
thank you.,Thank you.
thanks we'll be in touch!,Thank you for being in touch!
thanks to karen salisbury at iah for amazing customer service! found my daughter's bag lost on ua1516. made her day!,thanks to karen salisbury at iah for an incredible customer service! I found my lost daughter's bag on ua1516. She was on her day!
i left my comment with customer care. thanks for contacting me.,I left my comment with customer care. Thank you for contacting me.
yes!! thanks so much!!! _uoiui@united: we see you spoke with our reservations team and they've reinstated the flight. thanks. ^eyu,Yes! Thank you very much! _uoiui@united: we see you spoke with our booking team and they re-established the flight. Thank you. ^eyu
"captain ""on behalf of the front office, welcome on board."".... never heard that before. i laughed...hard.","Captain ""on behalf of the front desk, welcome aboard."" never heard that before. I laughed."
these are great fares!!!!!,These are great prizes!
awesome i'll book my next christmas vacatinn this december any other ways you want to devalue mileage plus.,Great I'll book my next Christmas vacatinn this December all the other ways you want to evaluate mileage more.
thank u! secured room for the night thx to very helpful customer service rep n. dorns.. i thanked her.. can u 2?,Thank you! secure room for the very useful customer service thx night rep n. dorns. I thanked her. Can you two?
thank you. i flew into newark from vail/eagle.,Thank you. I stole from a wing/valley.
denver international airport,denver international airport
thank you for responding so quickly with a helpful tool!,Thank you for responding so quickly with a useful tool!
thank you. took care of everything and made it right. that's the experience i'm used to. opened the app to find flight changed.,Thank you. took care of everything and did well. It's the experience I'm used to. opened the application to find the flight changed.
that's exactly the point. it fits. i'm premier access. boarding group 2. this was a return ticket. i've been doing this for 15 yrs,That's exactly the point. It's okay. I'm the first access. boarding group 2. It was a ticket back. I did this for 15 years.
thank you!,Thank you!
my favorite way to travel! thank you!,My favorite way to travel! Thank you!
thank you,Thank you.
he has no priority and iove it,it has no priority and the iove
pleased to be a premier platinum,happy to be a first platinum
thank you ui@united: i can certainly take a look. please follow and dm me your confirmation number for assistance. ^jhu,Thank you ui@united: I can certainly watch. Follow me your confirmation number. ^jhu
thanks for listening! i definitely was not the only person in line who thought it was absurd.,Thank you for listening! I was certainly not the only person online who thought it was absurd.
ok. i just submitted. thanks for the opportunity to give feedback.,Okay. I just submitted it. Thank you for the opportunity to comment.
big thanks to ms. winston for assisting me over the phone with a baggage claim issue today. she really went the extra mile!,Thank you very much to ms. winston helped me on the phone with a baggage problem today. She really did the extra mile!
"i will, as soon as i am done with my article. thanks! ~tom","I will, as soon as I'm done with my article. Thank you! ~"
ok thank again for your help!,Thanks again for your help!
flight 1491...plane from sfo to den is basically on time.,Flight 1491. the plane from sfo to den is essentially on time.
thanks. just a program comment; the system assigned seats behind each other even though pairs were available. i changed it back.,Thank you. just a program comment; the system assigned seats behind the other even if pairs were available. I changed it.
please than robin at ewr premiere desk for helping me get on a an earlier flight. she did the work. huge thanks.,"Please, robin at the first ewr office to help me take a flight earlier. She did the job. Thank you."
"that would help! or how about integrate it into the app so i can just ""activate"" it and surf...",It would help! or how to integrate it into the application so that I can simply activate and surf it.
thank you for your kindness. your agents went above &amp; beyond to get my stranded family home.,Thank you for your kindness. your agents went above and beyond to get my family in trouble.
look at this beauty _ua dc 10 united airlines _ua,watch this beauty _ua dc 10 United airlines _ua
ok thx!,"Okay, thx!"
great to hear thankyou so much. greatly appreciate your replies. feel much more settled now.,It's great to hear so many thanks. Thank you so much for your answers. I feel a lot better now.
counter agents at rdu deserve a medal.,Rdu police officers deserve a medal.
thank you. literally called for preboarding as i ran up.,Thank you. I called for pre-boarding.
that's brilliant thankyou so much. is it classed as part of carryon?,"That's great, thank you very much. Is it classified in the porton?"
thank you for listening to my compliant and doing the right thing. i appreciate you working with me,Thank you for listening to my compliance and doing the right thing. I appreciate you working with me.
great! i'm ready to go home.,Great! I'm ready to go home.
wow you even answered back! awesome! that's customer service!!!,You even answered! It's customer service!
: outsource it all united airlines...your customers are just loving you for it. outsource. outsource. outsource.,": outsourcing all united companies. your customers just love you for that. outsourcing, outsourcing."
thank you! you need to follow back tho otherwise i can't dm you. x,Thank you! You must follow tho otherwise I can't dm. x
just sent! thanks,I just sent!
thank you very much for the help. we're do i pick up my bags aspen airport &amp; are they coming in today on flight911,Thank you so much for helping. we are if I pick up my aspen airport bags and they arrive today in flight911
would love help getting there today. in now. will take any airline and connections. thx,I'd love to go today. Now. will take any airline and connections. thx
thank you!,Thank you!
thanks for the update.,Thanks for the update.
just confirmed a seat! crisis averted! beers won't be missed now,I confirmed a seat! The crisis is avoided! Beers won't miss.
understood and thanks! i should have tried reaching out sooner.,I'm sorry. I should have tried to get out of it sooner.
the den b44 agent (9:30am) was amazing. the mpagent at check in? she sucks.,Agent b44 den (9:30) was amazing. the mpagent on the record? She sucks.
traveling with who is injured. gate agent in chicago was awesome helping her. ty,trip with who's hurt. chicago door agent was great to help her. ty
thanks!,Thank you!
"been solved, they finally picked up the second time i called, thanks for the response jh! 7:21 to dulles works!","They finally recovered the second time I called, thank you for the answer. 7:21 for dulls works!"
has the best customer experience via twitter - huge fan!!!,has the best customer experience via twitter - big fan!
love the new 1st class breakfast!,Love the new 1st class breakfast!
thanks for looking into this and for getting back to me via dm. glad to hear my bag is finally being delivered to me. thanks again!,Thanks for looking for this and bringing me back by dm. glad to hear my bag will finally be delivered to me. Thanks again!
flew from sdf to atl to tampa on delta. left early. arrived early. crew helpful. wifi worked!!,flight from sdf to atl to tampa on delta. left early. I got here early. The crew is useful. wifi has worked!
cool. thank you.,cool. Thank you.
i'd like to thank and recognize terri p at dulles for going out of her way to get me back on my raleigh flight,I'd like to thank and recognize terri p to the guys for leaving his way to get me back on my raleigh flight.
was able to send the dm. all good now.,Could've sent the dm. It's all right now.
have michelle at t1 ord train your other staff on how to treat customers. a refreshing pleasure to deal with.,having t1 oud michelle train your other staff on how to treat customers. a refreshing pleasure to take care of.
ewr agent barbara was fabulous and an example of cust. serv. a pleasure talking to you_u_,Agent barbara was fabulous and an example of cust. serv. a pleasure to speak to you_u
thanks for the upgrade today great way to start my week! cc:,Thanks for upgrading today a great way to start my week! cc:
i am impressed with your super-fast reply to,I'm impressed with your quick answer
"hi jp, with the help of an awesome tsa representative, i was able to get it all taken care of. thank you!","Hi, jp, with the help of a great tsa representative, I could take care of everything. Thank you!"
the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.,the staff was pretty effective and brought us solutions just freaked me out a little bit of being in the limbo in the air.
i wanna be grand staff,I want to be a great staff.
i wanna be ride united airline! i love airplane,I want to be a united airline! i love airplane
you're my early frontrunner for best airline!,You are my first frontrunner for the best airline!
worked like a charm. bag was waiting on the carousel when we got to baggage claim.,It worked like a charm. The bag was waiting for the carousel when we got baggage.
will do. thanks for the help. cheers,It will. Thanks for the help. applause
i have 8 flights with you in the next two weeks let's make some good memories!,"I've got eight flights with you in the next two weeks, make good memories!"
he is so excellent and so reliable,it is so excellent and so reliable
it was delivered! thank you for making sure it arrived at my doorstep!,He's been delivered! Thank you for telling me he's come to my door!
ui@united: looking for a reason to travel?,ui@united: looking for a reason to travel?
thank you!,Thank you!
i was sincerely thanking the pilot of flight 4461 of braving the snow and getting me home amongst many other cancelled flightlations.,I sincerely thanked the pilot of Flight 4461 for flying snow and bringing me home from many other cancelled flights.
thanks! lol! will wait for us. per same tail number as,Thank you! Lol! We'll be waiting by the same number
bummer but thank you for the quick response,drink but thank you for the quick answer
"they let us know in advance of the reboot, yes thanks for the attentiveness!","They let us know before restarting, yes thanks for attention!"
wanted to compliment ur phone agent jeanette for reflight booking problems rdu to sea thru sfo after connecting flight thru ewr was cancelled flightled.,wanted to complete ur phone agent jeanette for booking problems reflight rdu to sea thru sfo after the thru ewr correspondence flight was cancelled flight.
social media team is on point on,the social media team is about to
thank you for following up!,Thank you for following!
claudia in iah terminal b travel assistance has me all set. great service. thank you.,Claudia in the terminal b travel help put me all in. A great service. Thank you.
denver baggage handlers you totally impressed us today. our lungs barely made the run to connect but our bags had no problem!,"The baggage managers denver you totally impressed us today. Our lungs barely raced to connect, but our bags had no problem!"
"thanks, it was my first time in a united lounge and felt welcomed.","Thank you, it was my first time in a united living room and I felt welcome."
can cancelled flight my flight anytime if this is where they keep me for the night..,Can cancel my flight at any time if that's where they keep me for the night.
thanks for updating me about the 1+ hour delay the exact second i got to atl. _uae_uae_uae,Thank you for updating me on the 1 hour delay and the second exact I had atl. uae_uae_uae
resolved. over hour of work on ground &amp; somehow the system reset itself during takeoff. i appreciate the quick response/service.,resolved. more hours of work on the ground and in a way the system reset during takeoff. I appreciate the quick/service response.
and to add to my earlier tweet. this was my daughters 5th bday present. thank you for the hard work and making it happen.,and add to my previous tweet. It was my daughters 5th day. Thanks for the hard work and for it to happen.
you have a guy named otis at ord that knows what is. he was able to get my bag to me. i upgraded just to be sure,You have a guy named ord otis who knows what is. He was able to get me my bag. I just upgraded to be sure
"you all do a wonderful job today. got my wife, daughter, and myself from pgh to orlando after out flight was delayed luggage and all","You all do a wonderful job today. my wife, my daughter, and I from pgh to orlando after the flight was delayed the luggage and all"
nope. even better there were 4 seats. and due to w&amp;b first to raise hands got to move up. i wasn't fast enough.,No. Even better there were four seats. and because of wθamp;b first to lift the hands had to move. I wasn't fast enough.
look at this beauty _ua dc-10 united airlines _ua hope you like this beauty _ua,watch this beauty _ua dc-10 companies unies _ua hope you love this beauty _ua
it was such a lovely part of this long day - attendants on ua5168 (most) /ua795 were beyond exceptional today.,it was such a beautiful part of this long day - the attendants on ua5168 (almost) /ua795 were beyond exceptional today.
i trust you enough to put my coat in my checked bag!,I trust you to put my coat in my bag.
"finally made it to rep, who solved my problem.","He finally managed to push back, who solved my problem."
thanks gate agent extraordinaire seau fong for helping me get re-booked out of boise and (hopefully) home to nyc sometime tonight!,Thank you agent of the extraordinary door fong bucket for helping me re-book me out of wood and (hopefully) house in nyc one day tonight!
thank y'all for being an amazing airline who knows how to treat their customers. you guys rock!,Thank you for being an incredible airline that can handle their customers. You're rock!
went to customer service kiosk and they were able to help out! still thanks for following up!,went to the kiosk customer service and they were able to help out! Thanks again for the follow-up!
nope all set. thx for checking.,We didn't solve it. To check.
