original,translated
on ipad and iphone clicking the checkin link in the email i received at 24hrs before flight,on ipad and iphone by clicking on the registration link in the email i received at 24 hours before the flight
ituas just a bug report guys,it is just a bug report guys
any updates on flight 413 from jfk gt lax,all updates on jfk flight 413 gt lax
spruce moose,moose
if you would love to see more girls be inspired to become pilots rt our free woaw event march 2 8 at abq,if you would like to see more girls inspired to become pilots rt our free event of the lady 2 8 march in abq
beats expectations shares take off santa cruz sentinel,beats expectations actions take off santa cruz sentinel
any plans to start flying direct from dal to las,plans to start stealing directly from the las dal
big love gratitude mpower w werin vipswagbags,great love gratitude mpower w werin vipswagbags
grand budapest hotel,grand hotel
this is what you missed next trip to the 407,that is what you missed the next trip to 407
shares rise on q4 financial results usa today,shares increase on the financial results q4 usa today
adds pillows instead of lie flat seats in first class arms race,adds pillows to the place of flat seats in the first class arms race
way to take advantage of,medium to enjoy
you know i m flying virgin for the fight,you know i m stealing a virgin for battle
shares up on 4q results,actions on 4q results
uo uoiouiou uon when are you guys going to start flying to paris you are welcome u,uo uoiouiou uon when are you going to start flying to bets
what is your policy on flying after surgery i am still waiting for answer so i can tell me doctor,what is your flight policy after surgery i m still waiting for the answer so i can tell me doctor
i think i left something on the plane yesterday who do i call ah,i think i left something on the plane yesterday who i call
i need you to follow back in order to dm,i need you to sweat to stop me
need to start flying to u uu ua ua,need to start flying at u uu ua ua
they told to check with the airline regulation first so that is why i contacted you,they said to check with airlines regulations first which is why i contacted you
what is your policy on flying after surgery,what is your flight policy after surgery
posts second consecutive full year net profit,second consecutive year posts
results handily exceed forecasts,results easily exceed the forecast
i applied for a position in and i was wondering if you guys received my application,i asked for a job at and i was wondering if you received my request
achieves a second year of profitability despite revenue pressure,reaches a second year of profitability despite the pressure of income
gives positive outlook but sees increased competition,gives positive perspectives but sees increased competition
weather delays gt next few weeks,delays gt weeks to come
check the website before you go to the airport,check the site before going to the airport
pilot says we expect a choppy landing in nyc due to some gusty winds w a temperature of about 5 degrees amp w the windchill 8,pilot says we are waiting for a landing in nyc due to some inflated winds with a temperature of about 5 degrees amp w the ventile 8
is saving my sanity right now,save my sanity right now
missed my flight how does standby work,i missed my flight how does it work
brought it all the way across the country today i see,i ve made all this way across the country today
are you ready let us say it together noooo turbulence today u,are you ready let us say it together noooo turbulence today u
can u help this uou needs urgent treatment in ua14 uau2y old battling cancer could u help with flights uon freyasfund,can u help this uou needs urgent treatment in ua14 uau2y old cancer fight could help with flights uon freyasfund
may start service to hawaii from this year,can start the service from this year
add dtw and i m sold,add it and i m sold
momma i made it u u u,mom i did it u u u
please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am need it returned call 914 329 0185,please contact me about the portfolio left on the flight vx 27 from jfk to sfo tonite seat 7am i need him back call 914 329 0185
help i was on flight 27 from jkf tonight seat 7c left portfolio need it back,help i was flying jkf tonight seat 7c left wallet we have to get it back
seattle bound wifey got me the duffle for vday she is a keeper holla,a bottle of sea the woman took me the dick for vday she is a guard holla
debbie baldwin gave a performance of the safety demo this evening on vx919,debbie baldwin gave a performance of security demo tonight on vx919
many thanks for the follow looking for any help u uon uaa ua uon ua14 uau uon u u ui u u,thank you so much for the rest search for any help u uon uaa ua uon ua14 uau uon u u u u u u u u u
nice lofty view,beautiful view loft
is my new go to airline,this is my new departure for the airline
can you help in need of some help in u u uaa ua u u ua14 uau u u,can you help in the need of any help in u u uaa u u ua14 uau u u u u u
flight booking problems flight to uphold my status match do taxes on ticket count as earned status points,flight flight flight booking problems to maintain my match status taxes on the ticket account as status points earned
to jump into the market,to jump on the market
can you help left my blazer in kooples jacket bag at 3rd row second seat from right gate 36 t3 lax flight to sfo,can you help i left my blazer kooples jacket bag with 3rd row of second of right door 36 t3 lax flight to sfo
partners with checkout as mobile payment method to help boost mobile conversion rates,partners with payment as a mobile payment method to help stimulate mobile conversion rates
i would like help with some flights please,i d like to help you with flights
bruh ui virginamerica turn down for what,bruh ui virginamerica drop for what
digging the swanky pink mood lighting during the flight from nyc to sfo just needs a cabaret singer think about it,dig the crispy pink mood lighting during the flight from nyc to sfo you just need a cabaret singer think
done but i need the receipt asap could you please help,it is done but i need the cash can you help
adds pillows instead of lie flat seats in first class arms race by,adds pillows to the place of flat seats in the first class arms race
i just did how can i dm do u have to also add me,i just did it how can i get it do you have to add me
anytime sugafly,at any time sugafly
i need a receipt for a flight change can you send one,i need a receipt for a flight change can you send one
ceo says amp have strayed from low cost model,ceo said amp have lost the model at low cost
a brilliant brisk am in boston in cue for vx363,a shiny lamp with cue boston for vx363
atlantic ploughs a lone furrow in the,the atlantic carts a solitary forehead in
when are you flying to hawaii,when fly to hawaii
virginamerica if only you guys were starting those flights at the end of the month guess iuam still road tripping on feb 27u,virginamerica if only you started these flights at the end of the month guess iuam always travels on road on feb 27u
announced new route to austin w fares from 39 way,announced a new route for austin w fares from 39 way
really sprint i thought you guys were kewl 0 0,really i thought you were kewl 0
you should have 39 dollar lax las fares,you should have 39 lax las
you should still develop an app then you will be my favorite airline,you should still develop an application then you will be my favorite airline
no a s channel this year,no channel this year
only thing i see on passbook is virgin mobile mexico how do i integrate,the only thing i see on the passbook is the virgin mobile mexico how can i integrate
is helping me step up my game,help me play my game
announces new nonstop connecting amp 39 intro,announces new non stop connection and 39 intro
adds austin dallas love field route,add austin dallas route love field
can you tweet me the cancelled flight chng fee for a flight or can i rebook under one of your affiliates if so who are afiliates,can you tweet me the cancelled flight charges for a flight or can i rebook under one of your subsidiaries if so who is afiltered
now when will we see virginamerica come to philadelphia phl,now when will we see virginamerica coming to philadelphia phl
to start 5xweekly flights from to on 28apr,to start 5 weekly flights from to 28apr
nice to see you expanding in texas but do not forget about us here in i would love to see more flights out of here,nice to see you spread in texas but do not forget about us here in i would love to see more flights out of here
to battle on route via,to fight on the road via
i miss the in san jose,i missed the san jose
can we make every vx plane with why should austin be the only one getting nerd love,can we do all the planes with why austin should be the only one to have a neat love
please add more frequency to pdx portland,please add more frequency to pdx portland
can u help with flights to get a 2y old battling cancer who needs treatment in ua14 uau uon u u uon,can help you with flights to get 2 year cancer that needs treatment in ua14 uau uon u uon
does virgin america fly direct from seattle to nyc or boston,does the virgin america fly directly from water to nyc or boston
save some for 871 tomorrow am,keep it for 871 in the morning
club virgin is bumping in new york,virgin club is sprinkled with new york
is that,it is just
please come to minneapolis st paul,please come to minneapolis st paul
yes fyi my bff,yeah i got my bff
do you have an application for ios was looking and only saw virgin mexico lt 3,do you have an application for ios was looking for and only seen virgin mexico lt 3
good point,good point
virginamerica i heard he has a virgin mobile hotspot,virginamerica i heard he had a virgin mobile hotpot
you got cheese plate flights too,you also have cheese flights
on all your flights,on all your flights
how come abc is the only one of the network channels you do not have,how to come abc is the only network channel you do not have
dear virgin customer while you are stranded in sf for 3 days amp 1000cost we will do the very least we can to accommodate you,dear virgin client while you are stuck in sf for 3 days and 1 000 we will do the least we can to welcome you
should use this in their next airline commercial lol,should use it in their next commercial air lol
any way to change from main cabin to main cabin select on same flight without paying a change fee penalty,any way from the main cabin to the main cabin select on the same flight without paying a change fee penalty
can you give me silver status for 12 months,can you give me the money status for 12 months
are there any sign up bonuses to enroll in elevate,are there any bonuses to register to raise it
morning if i have a question regarding elevate points amp flights can i dm you,hello if i have a question about high points and flights can i be dm
still waiting to see u,waiting to see u
was wondering if you guys recieved my dm and we are able to potentially respond asap,i was wondering if you have recieged my dm and we are able to answer an asap
ui virginamerica book out of town with fares from 59 way restr,ui virginamerica book out of town with rates from 59 way restr
even on international flight glasgow to the u s then what about orlando to newark all 90 mins,even on the international flight glasgow to u s and the orlando to newark 90 minutes
i understand but it is tough when there is no way to get to the airport w o serious risk of an accident it is a steep price,i understand but it is hard when there is no way to get to the airport with a serious accident risk it is an abrupt price
flying gla mco in a few weeks how long do we have to be at airport for before departure for both international and domestic ta,stealing ice mco in a few weeks how long should we be at the airport before departure for international and national countries ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta ta
why not is it a law or a policy,why not is it a law or policy
no i don t but i m sure united have my info on its system,no but i m sure we have my information on his system
just submitted my response on the link you sent,just submitted my answer on the link you sent
yes david allan send an email with this number kmm24999563v99860l0km and case 8719519,yes david allan send an email with this number kmm24999563v99860l0km and case 8719519
yes a paper voucher that i got on january 26th 2015,yes a good paper i received on january 26 2015
do i need to use a chase united club pass for my 8yr old son or can he come in with me on my pass,should i use a hunting club for my 8 year old son or can he come with me on my way
and what am i suppose to do with that number,and what do i have to do with this number
i lost a voucher that i was given in miami aeroport on jan 26 i did not use it,i lost a good i received at miami aeroport on jan 26 i did not use it
gee that is like almost caring about ppl more than think i m more int in having a trusted adult w daughter,it is like taking care of almost ppl over i think i m more int with a reliable adult with a girl
that is right with an overnight miami,that is right with a night mum
have clients with an 11 hr layover at iah during the day will they have to claim amp recheck luggage or will it be taken care of,having customers with an 11 hour rest at iah during the day will have to ask and rever the baggage or will it be taken care of
i am trying to find out if the loaner seat is new or used a used car seat is illegal according to safety regulations,i m trying to find out if the lender s seat is new or used a used car seat is illegal according to security rules
i dmed you the details,i put the details on you
kewl will also let them know the overhead bin over my row was inop i love a good abbreve,kewl i ll also tell them that the trash on my line was inop i love a good abbreve
thanks again for your concern i will contact customer care upon our return from australia,thank you again for your concern i ll contact the customers when we get back from australia
6533 ord to dca,6533 ord to dca
cancelled flighted our flight did not rebook us on added flight now have to drive from a denver to kc thanks,canceled our flight we did not rebook on the added flight now we have to drive from a denver to kc thanks
your announcement for pre boarding only addresses mobility my disability requires me to travel with a lot of stuff do i preboard,your ad for pre boarding only addresses mobility my disability makes me travel with a lot of things i m prevising
the os is not controlled by me but rather app is new,the bone is not controlled by me but rather the application is new
it was last night s 1235 ord lga,it was 1235 oud lga last night
thank you,thank you
dm these nuts,dm these nuts
thanks for the info i already knew,thank you for the information i already knew
airline trouble this winter amp not getting good customer service contact we negotiate resolutions for you,the airline troubled this winter and not get a good customer service contact us negotiate resolutions for you
thank you,thank you
is there an email address i can reach too long for a dm,is there an e mail address i can reach too long for a m
so do i need to book two one ways in order for her to fly as an unaccompanied minor,so i need to book two ways to fly as an unaccompanied minor
pls help baby hannah get the life saving surgeries she requires she needs your help pls donate rt,ps help hannah baby to get the rescue surgery she requires she needs your help donate rt
bet you wont honour them like mine ey,you will not honor them like mine
i guess that is too much ask huh,i guess it is too much to ask huh
please be good to me this weekend,be nice to me this weekend
a tourist wonder super tides and tide of the century at french and u k coasts,a tourist wonder super tides and tides of the century to the french coasts and u k
yall should probably work on that,yall should probably work on it
yes please trying to get to pop in newark now,yes please i m trying to get to newark
i know this is probably a no but is there a way to get a cheaper airfare ticket if the flight is leaving in a few hours ua,i know it is probably a no but is there a way to get a cheaper ticket if the flight leaves in a few hours you are right
can someone please explain the process of of what happens to property found on a plane after passengers leave at heathrow,can anyone explain the process of what happens to the property found on a plane after the departure of the passengers at the hurricane
dm does not work what do i do,dm does not work what i m doing
how about 3659 yul ord,and 3659 yul ord
done and done,done and done
thnx for the response bot it seems this improvement could be easily attained is your 1st class service really only worth 50,thnx for the answer box it seems that this improvement could be easily achieved is your first class service worth only 50
booked award tix on thaiairways but i m not seeing a conf for them just the united flight booking problems can you get get the thai for me,i booked the tix price on the thaiairways but i do not see any conf for them just the uni flight booking problems can you get the thai for me
is flight 587 from dfw to ord currently on time i see an advisory that dfw may be affected by weather,is flight 587 of the dew now i see an opinion that the wind can be affected by time
so if i m flying 1st class just one leg to chicago but not on my long flight to china am i still able to use the lounge in chicago,so if i fly the first class just a chicago leg but not on my long flight to porcelain i am always able to use the chicago lounge
okay thank you,thank you
i ve filed the claim but have no way of calling for updates is there another way to do this,i filed the application but i have no way of requesting updates is there another way to do that
any luck with finalizing my reservation i dm d information to you please let me know what else you need want to confirm asap thx,a chance to finalize my reservation i d give you information please tell me what else you need i want to confirm the jump thx
keep me updated let me know that the bags make the flight to j burg,keep me up to date tell me the bags fly to j burg
i would like to know what is going on before his current flight lands,i d like to know what is going on before his current land
this is not a local united number for malaysia 0011 800 55558000 what is your local united airlines here in kuala lumpur kul,this is not a local number for malaysia 0011 800 55558000 that are your local airlines united here in kuala lumpur kul
i send you an urgent message via eservice united com bg0kwm narayanan please respond asap also no local united tel kul,i send you an urgent message eservice united com bg0kwm narayanan please answer also no single local such kul
thanks will you guys be getting the a380s anytime soon,thank you are you going to take the a380s soon
i sent in my feedback thank you,i sent my comments thank you
yes i do,yes
deep vein thrombosis,deep vein thrombosis
unfortunately still on the tarmac at and definitely missing my ride from,unfortunately still on the tarmac and certainly miss my journey
what time does check in open for flight no ua80 from manchester to newark today,what time is it open for the not ua80 flight to newark today
dm sent,dm sent
follow me back please and i ll happily dm you the link because i d rather not share my travel plans publicly,follow me please and i will be pleased to do so because i prefer not to share my travel plans publicly
nah you would not,nah you wouldn t
our vacation s going to be ruined w 3 days of rain the change fee for 2 of us is nearly cost of original flight can you help,our holidays will be ruined with 3 days of rain the cost of change for 2 of us is almost costed from the original flight can you help
i sent the message let me know asap,i sent the message let me know
i understand thanks,i understand thank you
my post was just more of disappointment i m a frequent united flyer it was a simple 1 bad apple does not spoil the bunch,my job was more disappointing i m a common plane was it simple one bad apple does not ruin the pile
please help i am in ethiopia adopting a two year old child have an existing confirmation need to add child to reservation,please help i m in ethiopia by adopting a two year old child having an existing confirmation must add the child to the reservation
question are there onboad 110 volt outlets in all planes if so where,question are there 110 volts in all planes if so where
twitter is not letting me dm you,twitter does not let me get you out of it
i hope so too,i hope so
an idea monitor mileage members travel patterns enough to know when they change jobs lose status and make the transition easier,an idea to monitor the travel models of mileage members enough to know when they change employment loss status and to facilitate the transition
where is my flight voucher,where is my flight voucher
rebooting chicago dispatch system need as i m tired of sitting on planes,restart the chicago shipping system need as i am tired of sitting on planes
the aircraft closest to gate was for the other flight and the one closest to our gate was going to chicago,the plane closest to the door was for the other flight and one closest to our door was going to chicago
my mom left her kindle on flight 1544 today burgundy case with a light seat 27d did anyone find it,my mother left her kind in flight 1544 today case with light seat 27d did anyone find him
decisions decisions we would love for you to try our service we offer status match too kpu,decisions we would like you to try our service we also offer status kpu
need more info on that we have great amenity kits pj s not included we status match aa kpu,i need more information on this we have super kits of alienity pj is not included we have the status of correspondent kpu
do you have any flights with lie flat seating from stl to pdx around the date of march 5,do you have flights with flat pdx stl seats around the date of march 5
hi when do direct flights from houston to reno begin do not see any days in march,hello when the direct flights of houston to reno begin cannot we see days in march
like continental s chicken feat fairs,like the chicken fairies of the continent
can you assist with current flight status for flt 1016 out of dfw tomorrow at 6 55am,can you help the current state of the flight for flight no 1016 on the dew tomorrow at 6 55
to be clear on my luggage comment i am referencing the photo attached flight 6232 to jac,to be clear on my baggage comment i refer to the attached photo flight 6232 to jac
greetings ua club member here any idea if i can use the air canada lounge at yvr flying ua tomorrow,greetings the member of the club ua here any idea if i can use the air canada lounge to yvr fly tomorrow
how is mexico not international from the us,how is the mexic not international of us
just sent thank u rt please dm your confirmation number if reflight booking problems is needed thank you ey,just sent thanks u rt please dm your confirmation number if the reflight booking problems are necessary thank you ey
so whatuas the deal do u provide voucher for overnight or am i cozy on the floor at,so what are you doing do u provide a good for the night or am i lazy on the floor to
please upload the march on demand entertainment listing on your website iou,please download the march entertainment list upon request on your website iou
did you have seen my message today about a mcdonnell douglas dc 10 model i will hear it if you read it goodnight now,did you see my message today on a model mcdonnell douglas dc 10 i ll hear it if you read it good night now
what is a girl got to do to get a flight name change when she bought one for a mean ex boyfriend and needs a girl s trip stat,what does a girl have to do to get a flight name change when she bought one for an ex boyfriend average and needs a girl s travel statistics
thank you we are signed up for notifications we shall watch and wait auau,thank you we are signed for notifications we will look and wait auau
i would love if someone could get me back to austin tonight and i do not wish to wait til tomorrow morning,i d love someone to bring me back to austin tonight and i do not want to wait in the morning
i have a 0530 flight out of dfw on tuesday how far in advance will you give notice if cancelled flightled,i got a flight of 0530 outside my back on tuesday how far forward will you give a notice so cancelled in flight
when will direct flights from belfast intl to newark resume from their winter break thanks,when direct flights from belfast intl to newark resume their winter break thank you
yes after this awful weather it appears i can get home,yes after that bad weather it seems i can go home
the person is currently bettween gates 71a and 73 in lax,the person is currently gates 71a and 73 in lax
thank you for the quick response but i cannot dm you until you follow me as well,thanks for the quick answer but i cannot dm you until you follow me too
i need the phone number to baggage claim in lax my mom left her phone and someone called saying they would put it there but on,i need the phone number at the lax baggage store my mom left her phone and someone called saying they would put it there but on it
will not have to honor absurdly low mistake fares vi a,will not be obliged to honor ridiculously low error prices vi a
thanks it is 35k miles from rtb to europe to do a multiple destination so we could stop over in us on way way back mileage diff,thank you is 35 km from rtb in europe to make a multiple destination so that we can stop on the path return of the diff kilometre
done,made
thank you jh appreciate the prompt responses me and other passengers will be doing so,thank you jh appreciate the quick answers to me and other passengers will
hi guys do you have a general enquires email address please thanks david,do you have a general email address thank you
i am buying 2 yo own seat on 3 legs of intl trip car seat required if not then allowed can child still sit w mom after takeoff,i buy two yo seats on three legs of car travel required if it is not allowed can the child still sit in w mom after takeoff
united for those playing along at home,uni for those who play at home
thanks had a question about the wait time for baggage on ua6366,thank you had a question about the waiting time for the baggage on ua6366
8602947 jon at thanks,8602947 thank you
flight booking problems for a travel writers trip i am hosting and need to be happy when i land do you have the cute pjs aa does,flight booking problems for a travel writers trip i am welcoming and must be happy when i land you got the cute pjs aa
but i do not see aa,but i do not see aa
did you find out where it is thanks,did you find out where he is
i cannot dm you so here is the confirmation g8cvwj please is there any way i can make it to kailua tonight thank you,i cannot tell you this is the g8cvwj confirmation please can i do it to kailua tonight thank you
definitely will,i m sure it is
what gate is ua5396 leaving from,which door is ua5396
fails again saves the day,again it saves the day
it is not my first time flying to the us i have medical info looking for practical like my adapted seat cushion allowed on,it is not my first time i have medical information practical search as my suitable seat cushion allowed
hi im flying sfo lax sal clo my connecting time in lax is 1h45m is it enough time do i have to collect my bag and recheck on av,hello sfo lax sal clo my connection time in lax is 1h45m is that enough time do i have to get my bag back and check on av
states faundation was by faith judeo cristian not it was by ideologias,the fauntion of the states was by the faith judeo cristian not it was by ideologias
are you able to see if there are seats open on another flight,can you see if there are seats on another flight
hahaha at least they gave u a refund,at least they gave a refund
but you have received confirmation via email that you are confirmed and ticketed on this flight,but you received an email confirmation that you are confirmed and registered on this flight
after speaking to a united customer service rep the night before a flight confirming that everything is ok with your reservation,after talking to a customer service united at night before a flight confirming that everything is okay with your reservation
any other way ord to abq anytime within the next 7 hours,any other way to head to abq in the next 7 hours
follow back and i ll give you the details,i ll give you the details
scott need a good book suggestion,scott do you need a good book suggestion
please see dm,please see dm
4 people mci to del preferably with jet airways ewr bru del segment anytime in december,4 people mci to del preferably with the jet segment airways ewr bru del at any time in december
at the gate iad to rdu,to the door iad to rdu
to operated from to replacing b767 400er between 6may 23sep instead till 23oct,to be used to replace b767 400er between 6may 23sep to 23oct
hi what is the phone number for reservations in venezuela thanks,hello what is the phone number for reservations in venezuela thank you
can i request a ticket change through twitter,can i request a change of ticket via twitter
to start daily flights from to replacing on 7apr instead 28mar,to start daily flights to replace on 7apr instead of 28mar
to start daily flights from to replacing on 2jul,to start daily flights to replace on 2jul
thank you for your response,thank you for your answer
left item n the seatback on ua1260 is there any way to call dca to ask if they have the item already submitted lost amp found report,left n the file on ua1260 is there a way to call dca to ask if they have the object already submitted the lost report amp found found found
i dm d child s birthdate and full name,i have the child s name
lisa j is amazing the guy not so much,lisa j is unbelievable the guy not so much
two years old birthdate 11 13 2012,two years date of birth 11 13 2012
i already did,i ve already done it
what would it cost,what would cost
i ve got a campus visit in an hour and i m still wearing the same clothes,i have a campus visit in an hour and i always wear the same clothes
adopting 2 yr old child from ethiopia flying from add to grr on 2 28 need to add child to reservation and get costs help thx,2 years of ethiopia steal to add to grr on 2 28 need to add the child to the reservation and get costs help thx
good morning any first class upgrades available for ua1619 feb 25 rsw to ewr i need 4 seats please,hello all first class upgrades available for ua1619 fb 25 rsw to ewr i need four seats
dm sent as requested make sure you follow back so you can dm me back thanks,dm sent as requested make sure you follow me so you can turn me back thank you
please help,please
why is my ktn not showing on my boarding why is tsa pre check not applying to my boarding pass,why do not my ktn show up on my boarding why does not tsa pre check apply to my boarding card
sitting in the middle for the first time hope it works out well,sitting in the middle for the first time hopefully it works well
and learn how to book flights,and learn to book flights
thanks got it straightend out last night,thank you i got him out last night
any chance flight 3745 is being delayed nervous about driving to dfw in this weather to drop off my brother,is flight 3745 delayed nervous to drive to drift in this time to let my brother go
will definitely do so sending a dm now,i will certainly i m sending a doctor
group 2 line gets longer every week almost no one left for groups 3 5 anymore time to make explorer card group 3,group line 2 extends every week almost no one left for groups 3 5 time to make the explorer card group 3
hi was thank you,it was good thank you
any news about the departure of the flight ua51,news about the departure of the flight ua51
someone should send a note to the revenue management team and ask about all the open bf and gf seats on 919,someone should send a note to the income management team and ask about all the open seats bf and gf out of 919
basically i need to leave from hawaii late flight evening midnight and get back to philly late flight monday night most trips get me in tues,basically i have to start from hawaii at the end of the flight evening mi night and return to philly at the end of the flight monday night most trips bring me to the toes
yes please going to drive the 6 hours,yes please i ll drive the 6 hours
the child is two years old,the child is two years old
followed you and dm d you,you followed and you followed
united 787 in snowy denver,uni 787 in the snowy denver
can you help me add my ktn to this reservation plz,can you help me add my ktn to this booking plz
whats ua 1205 lax newark,what did 1205 lax newark
you will be hearing from me for sure,you will hear me
in ethiopia adopting a child need flight home from add to grr late flight 2 27 or very early 2 28 need to change existing reservation,in ethiopia adopting a child need a home flight to add to flight 2 27 or very early 2 28 need to change existing reservation
ua flight 1247 sfo to lax took my carry on at gate i m group 2 overhead bins are empty,ua vol 1247 sfo to lax took my port at the door i m group two the head buckets are empty
